Company,Predicted SDG Component,Percentage Prediction,Keywords
Castleview,GOAL 11: Sustainable Cities and Communities,15.4%,
Momentum Metropolitan,GOAL 11: Sustainable Cities and Communities,65.6%,
Schroders,GOAL 8: Decent Work and Economic Growth,30.9%,innovation
Zeder,GOAL 7: Affordable and Clean Energy,43.2%,
Standard Bank,GOAL 12: Responsible Consumption and Production,81.8%,
Sasfin,GOAL 8: Decent Work and Economic Growth,67.2%,
Vunani,GOAL 12: Responsible Consumption and Production,78.7%,
Investec Property Fund,GOAL 8: Decent Work and Economic Growth,82.9%,
Capitec Bank,GOAL 8: Decent Work and Economic Growth,48.5%,
ABSA,GOAL 11: Sustainable Cities and Communities,15.4%,
ARC-,GOAL 8: Decent Work and Economic Growth,76.7%,
Capricorn Group,GOAL 8: Decent Work and Economic Growth,48.2%,enterprise
Alex Forbes,GOAL 12: Responsible Consumption and Production,78.9%,efficiency
Purple Group,"GOAL 16: Peace, Justice and Strong Institutions",47.5%,governance
Capital Appreciation,"GOAL 16: Peace, Justice and Strong Institutions",67.9%,"accountability, governance"
Old Mutual,GOAL 12: Responsible Consumption and Production,94.6%,"efficiency, sustainable"
Primeserv,GOAL 8: Decent Work and Economic Growth,60.6%,
Discovery,GOAL 12: Responsible Consumption and Production,72.8%,sustainable
Nedbank,GOAL 11: Sustainable Cities and Communities,15.4%,
PSG,GOAL 12: Responsible Consumption and Production,47.5%,
Investec,GOAL 7: Affordable and Clean Energy,94.0%,
Clientele,"GOAL 16: Peace, Justice and Strong Institutions",86.4%,"governance, accountability, transparency, law"
Santam,GOAL 11: Sustainable Cities and Communities,15.4%,
Sanlam,GOAL 11: Sustainable Cities and Communities,15.4%,
Remgro,GOAL 12: Responsible Consumption and Production,95.4%,sustainable
Ninety One,"GOAL 16: Peace, Justice and Strong Institutions",80.8%,"law, governance"
Astoria,GOAL 8: Decent Work and Economic Growth,61.8%,
Namibia Asset Management,GOAL 11: Sustainable Cities and Communities,15.4%,
Universal Partners,"GOAL 16: Peace, Justice and Strong Institutions",96.3%,governance
Brait,"GOAL 9: Industry, Innovation and Infrastructure",32.4%,research
Mahube,GOAL 12: Responsible Consumption and Production,96.3%,sustainable
