Company,Predicted SDG Component,Percentage Prediction,Keywords
Growthpoint,GOAL 12: Responsible Consumption and Production,46.4%,
NEPI Rockcastle,GOAL 5: Gender Equality,69.7%,discrimination
Emira,GOAL 7: Affordable and Clean Energy,90.6%,
PHP,GOAL 5: Gender Equality,99.7%,women
Oryx,GOAL 8: Decent Work and Economic Growth,72.4%,
SA Corporate Real Estate,GOAL 11: Sustainable Cities and Communities,15.4%,
Fortress,GOAL 12: Responsible Consumption and Production,24.8%,
Tradehold,GOAL 12: Responsible Consumption and Production,73.1%,
Attacq,GOAL 12: Responsible Consumption and Production,61.8%,"sustainable, recycling"
Heriot,GOAL 12: Responsible Consumption and Production,98.7%,
Octodec,GOAL 12: Responsible Consumption and Production,94.7%,"sustainable, efficiency"
Dipula,GOAL 11: Sustainable Cities and Communities,36.6%,
Capital & Regional,GOAL 12: Responsible Consumption and Production,97.7%,
Lighthouse Properties,GOAL 12: Responsible Consumption and Production,64.0%,
Accelerate,GOAL 8: Decent Work and Economic Growth,61.7%,employment
Balwin Properties,GOAL 12: Responsible Consumption and Production,84.0%,sustainable
Equites,GOAL 8: Decent Work and Economic Growth,42.2%,
Hyprop,GOAL 11: Sustainable Cities and Communities,84.6%,
Oasis,GOAL 12: Responsible Consumption and Production,78.3%,
Redefine Properties,GOAL 11: Sustainable Cities and Communities,15.4%,
Putprop,"GOAL 16: Peace, Justice and Strong Institutions",49.6%,accountability
Fairvest,GOAL 12: Responsible Consumption and Production,38.8%,
Acsion,GOAL 7: Affordable and Clean Energy,30.4%,
DKR,GOAL 12: Responsible Consumption and Production,56.7%,
Calgro M3,GOAL 12: Responsible Consumption and Production,94.1%,sustainable
GTC,GOAL 11: Sustainable Cities and Communities,15.4%,
Vukile,GOAL 12: Responsible Consumption and Production,41.6%,
Hammerson,GOAL 12: Responsible Consumption and Production,98.9%,sustainable
Visual,GOAL 11: Sustainable Cities and Communities,53.9%,housing
Sirius Real Estate Limited,"GOAL 9: Industry, Innovation and Infrastructure",57.0%,technology
MAS PLC,GOAL 8: Decent Work and Economic Growth,39.1%,
Exemplar,GOAL 12: Responsible Consumption and Production,85.5%,
Shaftesbury Capital,GOAL 12: Responsible Consumption and Production,71.3%,renewable
