Company,Predicted SDG Component,Percentage Prediction,Keywords
ICICI Bank,"GOAL 9: Industry, Innovation and Infrastructure",35.7%,"technology, efficiency"
UCO Bank,GOAL 8: Decent Work and Economic Growth,63.6%,
Punjab & Sind Bank,GOAL 12: Responsible Consumption and Production,59.5%,
PNB Housing Finance Limited,GOAL 12: Responsible Consumption and Production,97.8%,
HDFC Ltd,GOAL 12: Responsible Consumption and Production,81.5%,efficiency
ICICI Securities,GOAL 12: Responsible Consumption and Production,98.0%,sustainable
Nippon Life India Asset Management Limited,GOAL 12: Responsible Consumption and Production,89.3%,
Bank of Maharashtra,"GOAL 9: Industry, Innovation and Infrastructure",89.7%,
AAVAS Financiers Ltd,GOAL 8: Decent Work and Economic Growth,93.1%,employment
Axis Bank,GOAL 12: Responsible Consumption and Production,86.6%,"efficiency, sustainable"
General Insurance Corporation of India,GOAL 12: Responsible Consumption and Production,74.1%,
ICICI Lombard,GOAL 12: Responsible Consumption and Production,66.0%,"sustainable, efficiency"
Kotak,GOAL 8: Decent Work and Economic Growth,48.5%,"employment, workforce"
RBL Bank Ltd,GOAL 12: Responsible Consumption and Production,68.5%,
Federal Bank,GOAL 12: Responsible Consumption and Production,89.1%,
IndusInd Bank,"GOAL 16: Peace, Justice and Strong Institutions",97.6%,"governance, corruption, law"
Indiabulls Housing Finance Limited,GOAL 12: Responsible Consumption and Production,48.2%,
Manappuram Finance Ltd,GOAL 13: Climate Action,71.4%,"resilience, policy"
Power finance Corporation Limited,GOAL 12: Responsible Consumption and Production,97.3%,"sustainable, renewable, efficiency"
Canara Bank,GOAL 8: Decent Work and Economic Growth,50.7%,innovation
Union bank of India,GOAL 3: Good Health and Well-being,98.5%,healthcare
AU Small Finance Bank,GOAL 8: Decent Work and Economic Growth,48.8%,"employment, workforce"
Bengal & Assam Company Ltd,GOAL 12: Responsible Consumption and Production,96.9%,
REC Limited,GOAL 12: Responsible Consumption and Production,96.3%,"renewable, efficiency, sustainable"
HDFC Life,"GOAL 9: Industry, Innovation and Infrastructure",75.1%,"efficiency, technology"
UTI Asset Management Company Ltd,GOAL 8: Decent Work and Economic Growth,87.8%,"workforce, productivity"
Bajaj Finance,"GOAL 16: Peace, Justice and Strong Institutions",92.8%,"governance, law"
Bajaj Finserv,GOAL 12: Responsible Consumption and Production,91.9%,"renewable, sustainable"
Capri Global Capital Ltd,"GOAL 9: Industry, Innovation and Infrastructure",49.8%,technology
CHOLA FINANCIAL HOLDINGS LIMITED,"GOAL 9: Industry, Innovation and Infrastructure",64.5%,"technology, manufacturing, construction"
Bajaj Holdings & Investment Limited,GOAL 12: Responsible Consumption and Production,98.5%,
Shriram transport Finance,GOAL 12: Responsible Consumption and Production,96.5%,efficiency
Indian bank,GOAL 12: Responsible Consumption and Production,48.9%,renewable
IDFC First Bank,GOAL 8: Decent Work and Economic Growth,87.2%,"workforce, innovation"
LIC HFL,GOAL 12: Responsible Consumption and Production,74.3%,sustainable
YES Bank,GOAL 13: Climate Action,77.0%,"resilience, policy"
IDBI Bank,GOAL 12: Responsible Consumption and Production,76.1%,"efficiency, renewable, sustainable"
Motilal Oswal,GOAL 8: Decent Work and Economic Growth,43.9%,enterprise
Hudco,GOAL 12: Responsible Consumption and Production,97.7%,efficiency
HDFC AMC,GOAL 12: Responsible Consumption and Production,98.4%,
Jammu and Kashmir Bank Ltd,GOAL 12: Responsible Consumption and Production,65.6%,"efficiency, sustainable"
Tube Investments of India Limited,GOAL 12: Responsible Consumption and Production,89.5%,"sustainable, efficiency"
PNB,GOAL 12: Responsible Consumption and Production,96.3%,efficiency
Chola,GOAL 8: Decent Work and Economic Growth,75.0%,
Bank of India,GOAL 12: Responsible Consumption and Production,74.5%,efficiency
HDFC Bank,"GOAL 9: Industry, Innovation and Infrastructure",94.4%,"technology, construction, efficiency"
Aditya Birla Capital,"GOAL 9: Industry, Innovation and Infrastructure",76.4%,"efficiency, technology"
Can Fin Homes Ltd,GOAL 8: Decent Work and Economic Growth,48.3%,enterprise
Albert Herbet,GOAL 12: Responsible Consumption and Production,94.6%,efficiency
Max Financial Services,GOAL 12: Responsible Consumption and Production,98.5%,
The Muthoot Group,GOAL 12: Responsible Consumption and Production,90.3%,"efficiency, sustainable"
SBI Card,GOAL 12: Responsible Consumption and Production,98.0%,"sustainable, efficiency"
Bank of Baroda,GOAL 8: Decent Work and Economic Growth,56.8%,productivity
SBI Life,GOAL 12: Responsible Consumption and Production,98.0%,sustainable
L&T Financial Services,GOAL 12: Responsible Consumption and Production,51.7%,"sustainable, efficiency, renewable"
CreditAccess,GOAL 12: Responsible Consumption and Production,82.3%,
SBI,"GOAL 9: Industry, Innovation and Infrastructure",73.2%,"technology, efficiency"
Indian Energy Exchange Ltd,GOAL 7: Affordable and Clean Energy,97.9%,"sustainable, electrification, efficiency, renewable, solar, wind"
Ujjivan Small Finance Bank Ltd,GOAL 8: Decent Work and Economic Growth,45.0%,
Indian Overseas Bank,GOAL 8: Decent Work and Economic Growth,37.1%,
City Union Bank Ltd,GOAL 8: Decent Work and Economic Growth,68.3%,innovation
Cummins India Limited,GOAL 12: Responsible Consumption and Production,74.5%,
Central Bank of India,GOAL 8: Decent Work and Economic Growth,38.8%,enterprise
New India Assurance Company Limited,GOAL 5: Gender Equality,76.5%,"equity, rights, women"
ICICI Prudential,GOAL 8: Decent Work and Economic Growth,75.1%,"enterprise, productivity, innovation"
Mahindra Finance,GOAL 12: Responsible Consumption and Production,78.2%,sustainable
