Company,Predicted SDG Component,Percentage Prediction,Keywords
Aurobindo Pharma Limited,GOAL 8: Decent Work and Economic Growth,56.2%,workforce
Laurus Labs,"GOAL 9: Industry, Innovation and Infrastructure",92.6%,"manufacturing, research, automation, efficiency"
Strides Pharma Science Ltd,GOAL 12: Responsible Consumption and Production,95.7%,"efficiency, sustainable"
Ipca Laboratories,GOAL 12: Responsible Consumption and Production,40.0%,
Abbott India,GOAL 12: Responsible Consumption and Production,94.1%,"sustainable, packaging"
Jubilant Pharmova Ltd,GOAL 8: Decent Work and Economic Growth,48.1%,"productivity, innovation, enterprise"
Torrent Pharma,GOAL 12: Responsible Consumption and Production,98.1%,efficiency
Sun Pharma,GOAL 12: Responsible Consumption and Production,85.5%,"efficiency, sustainable"
Concord Biotech Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
Astrazeneca Pharma India Ltd,GOAL 10: Reduced Inequality,19.0%,equity
J.B. Chemicals & Pharmaceuticals Limited,"GOAL 9: Industry, Innovation and Infrastructure",69.3%,"technology, research, efficiency, manufacturing"
Zydus,GOAL 3: Good Health and Well-being,72.3%,"healthcare, wellness, prevention, hospitals"
Granules India Ltd,GOAL 3: Good Health and Well-being,99.2%,prevention
Ajanta Pharma Limited,GOAL 12: Responsible Consumption and Production,81.5%,
GlaxoSmithKline Pharmaceuticals,GOAL 12: Responsible Consumption and Production,70.1%,"sustainable, efficiency"
Max Healthcare,GOAL 12: Responsible Consumption and Production,73.2%,efficiency
Alembic Pharmaceuticals Ltd,"GOAL 9: Industry, Innovation and Infrastructure",42.8%,manufacturing
Dr Lal Pathlabs,GOAL 3: Good Health and Well-being,93.4%,"diseases, prevention, treatment"
Lupin,GOAL 12: Responsible Consumption and Production,80.0%,sustainable
ERIS Lifesciences Ltd,GOAL 12: Responsible Consumption and Production,86.0%,"renewable, efficiency, sustainable"
Apollo Hospitals,GOAL 3: Good Health and Well-being,99.5%,"hospitals, treatment, healthcare, diseases, prevention, wellness"
Cipla,GOAL 12: Responsible Consumption and Production,97.7%,"packaging, sustainable, renewable"
Aster DM Healthcare Ltd,GOAL 12: Responsible Consumption and Production,76.8%,
Caplin Point Laboratories Ltd,GOAL 12: Responsible Consumption and Production,97.8%,sustainable
Suven Pharmaceuticals Ltd,GOAL 3: Good Health and Well-being,99.5%,
Sanofi India Ltd,GOAL 12: Responsible Consumption and Production,95.9%,sustainable
Metropolis Healthcare Ltd,GOAL 12: Responsible Consumption and Production,58.4%,efficiency
Divi's Laboratories Limited,GOAL 12: Responsible Consumption and Production,96.6%,renewable
Poly Medicure Ltd,GOAL 12: Responsible Consumption and Production,95.1%,efficiency
Pfizer,"GOAL 9: Industry, Innovation and Infrastructure",57.2%,"research, manufacturing, technology, efficiency, construction"
Dr. Reddy's Laboratories,GOAL 12: Responsible Consumption and Production,89.8%,"sustainable, packaging"
Narayana Hrudayalaya Ltd,GOAL 8: Decent Work and Economic Growth,48.6%,employment
