Company,Predicted SDG Component,Percentage Prediction,Keywords
Jaiprakash Power Ventures Ltd,"GOAL 9: Industry, Innovation and Infrastructure",25.0%,"technology, manufacturing, efficiency, construction"
Escorts,"GOAL 9: Industry, Innovation and Infrastructure",73.0%,"technology, automation, manufacturing, construction, research"
Blue Dart Express Ltd,GOAL 8: Decent Work and Economic Growth,80.5%,employment
Jupiter Wagons,GOAL 12: Responsible Consumption and Production,93.0%,
Honeywell,GOAL 12: Responsible Consumption and Production,97.8%,
Suzlon Energy Ltd,GOAL 10: Reduced Inequality,72.1%,equity
Kajaria,"GOAL 9: Industry, Innovation and Infrastructure",78.2%,"technology, manufacturing, construction, efficiency"
Rites Ltd,"GOAL 9: Industry, Innovation and Infrastructure",46.8%,"technology, construction"
Graphite India Ltd,GOAL 12: Responsible Consumption and Production,95.3%,sustainable
BLS International Services Ltd,"GOAL 9: Industry, Innovation and Infrastructure",59.5%,"technology, efficiency, manufacturing, construction"
Olectra Greentech Ltd,GOAL 12: Responsible Consumption and Production,39.7%,efficiency
Lakshmi Machine Works Ltd,GOAL 12: Responsible Consumption and Production,78.4%,efficiency
Quess Corp Ltd,GOAL 12: Responsible Consumption and Production,95.0%,efficiency
Gujarat Mineral Development Corporation Ltd,GOAL 12: Responsible Consumption and Production,94.9%,
H.G. Infra Engineering Ltd,"GOAL 9: Industry, Innovation and Infrastructure",70.4%,"construction, technology"
PNC Infratech Ltd,GOAL 12: Responsible Consumption and Production,53.8%,sustainable
AIA Engineering Limited,GOAL 12: Responsible Consumption and Production,72.0%,sustainable
KNR Constructions Ltd,GOAL 12: Responsible Consumption and Production,70.2%,efficiency
Polycab,GOAL 12: Responsible Consumption and Production,91.9%,"sustainable, efficiency"
Shipping Corporation of India Ltd,GOAL 12: Responsible Consumption and Production,98.1%,"recycling, efficiency"
Carborundum Universal Limited,"GOAL 9: Industry, Innovation and Infrastructure",81.5%,"technology, efficiency, manufacturing, research"
Titagarh Rail Systems Ltd,GOAL 8: Decent Work and Economic Growth,52.0%,
Inox Wind Ltd,GOAL 12: Responsible Consumption and Production,97.3%,
Triveni Turbine Ltd,GOAL 12: Responsible Consumption and Production,61.2%,"efficiency, sustainable"
3M India Limited,GOAL 12: Responsible Consumption and Production,98.2%,"sustainable, efficiency, packaging"
SKF India Limited,GOAL 12: Responsible Consumption and Production,42.2%,efficiency
Ircon,"GOAL 9: Industry, Innovation and Infrastructure",94.9%,"construction, technology"
ACE,GOAL 5: Gender Equality,98.6%,"equity, rights"
Engineers India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",78.3%,"efficiency, construction, technology, manufacturing, research"
Genus Power Infrastructures,GOAL 13: Climate Action,45.7%,"policy, mitigation"
Voltamp Transformers Ltd,GOAL 12: Responsible Consumption and Production,92.0%,sustainable
Cochin Shipyard Limited,"GOAL 9: Industry, Innovation and Infrastructure",35.5%,"construction, technology, research"
Nava Ltd,GOAL 8: Decent Work and Economic Growth,81.2%,employment
Voltas Limited,GOAL 12: Responsible Consumption and Production,95.6%,"sustainable, efficiency"
Kirloskar Oil Engines,GOAL 3: Good Health and Well-being,44.3%,
