Company,Predicted SDG Component,Percentage Prediction,Keywords
TATA Steel,GOAL 12: Responsible Consumption and Production,95.9%,"sustainable, efficiency"
Jindal Saw Ltd,GOAL 12: Responsible Consumption and Production,68.6%,
GNFC,GOAL 12: Responsible Consumption and Production,41.9%,efficiency
Usha Martin Ltd,GOAL 8: Decent Work and Economic Growth,51.9%,
Alkyl Amines Chemicals Ltd,GOAL 8: Decent Work and Economic Growth,48.8%,
Godawari Power & Ispat Ltd,GOAL 12: Responsible Consumption and Production,89.2%,
JKCement,GOAL 12: Responsible Consumption and Production,98.1%,"efficiency, sustainable"
Kansai Nerolac Paints,GOAL 8: Decent Work and Economic Growth,56.9%,
JK Tyre & Industries Ltd,GOAL 2: Zero Hunger,73.0%,
Chambal Fertilisers & Chemicals Ltd,GOAL 12: Responsible Consumption and Production,93.3%,"efficiency, packaging"
Shyam Metalics & Energy Ltd,GOAL 8: Decent Work and Economic Growth,56.3%,employment
PI Industries Limited,GOAL 12: Responsible Consumption and Production,90.9%,sustainable
Star Cement Ltd,GOAL 12: Responsible Consumption and Production,88.3%,
Aarti Industries Limited,GOAL 12: Responsible Consumption and Production,80.1%,sustainable
Solar Industries India Limited,GOAL 12: Responsible Consumption and Production,93.2%,efficiency
Asian Paints,GOAL 12: Responsible Consumption and Production,88.7%,"sustainable, efficiency"
ACC Limited,GOAL 12: Responsible Consumption and Production,31.0%,"efficiency, sustainable"
Grasim Industries,GOAL 8: Decent Work and Economic Growth,35.0%,employment
PCBL,GOAL 12: Responsible Consumption and Production,96.8%,"sustainable, efficiency"
Electrosteel Castings Ltd,GOAL 12: Responsible Consumption and Production,90.4%,
Sandur Manganese & Iron Ores Ltd,GOAL 12: Responsible Consumption and Production,95.3%,
EID Parry (India) Ltd,GOAL 12: Responsible Consumption and Production,67.3%,"sustainable, efficiency, recycling"
Ambuja Cement,GOAL 12: Responsible Consumption and Production,98.1%,"sustainable, efficiency"
Lloyds Metals and Energy Limited,GOAL 8: Decent Work and Economic Growth,30.9%,"wages, employment"
Coromandel,GOAL 12: Responsible Consumption and Production,93.8%,"sustainable, efficiency, renewable"
Century Plyboards (India) Ltd,GOAL 12: Responsible Consumption and Production,89.8%,"efficiency, sustainable"
Tata Chemicals,GOAL 12: Responsible Consumption and Production,98.5%,"recycling, sustainable"
Shree Cement Limited,GOAL 12: Responsible Consumption and Production,79.0%,sustainable
Century Textiles and Industries Limited,GOAL 12: Responsible Consumption and Production,75.4%,
NMDC Limited,GOAL 12: Responsible Consumption and Production,94.2%,sustainable
Jindal Steel & Power,"GOAL 16: Peace, Justice and Strong Institutions",80.9%,"transparency, accountability"
Jai Balaji Industries Ltd,GOAL 13: Climate Action,44.0%,policy
Bayer CropScience,GOAL 2: Zero Hunger,62.0%,"agriculture, crops"
KIOCL Limited,GOAL 12: Responsible Consumption and Production,94.0%,efficiency
JK Lakshmi Cement Ltd,GOAL 13: Climate Action,39.3%,"resilience, policy, mitigation"
RCF,GOAL 2: Zero Hunger,96.7%,plant
APL Apollo Tubes,GOAL 5: Gender Equality,85.5%,equity
Fine Organic Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",76.8%,"manufacturing, logistics"
MOIL Ltd,GOAL 11: Sustainable Cities and Communities,34.0%,
Hindustan Zinc,GOAL 15: Life on Land,73.5%,
Hindalco,GOAL 12: Responsible Consumption and Production,95.4%,renewable
Welspun Corp Ltd,GOAL 8: Decent Work and Economic Growth,56.5%,employment
Dalmia Bharat Limited,GOAL 12: Responsible Consumption and Production,98.1%,sustainable
Elantas Beck India Ltd,GOAL 8: Decent Work and Economic Growth,57.5%,employment
Birla Corporation Ltd,GOAL 13: Climate Action,38.0%,policy
Supreme Petrochem Ltd,"GOAL 9: Industry, Innovation and Infrastructure",47.3%,
Vedanta,GOAL 12: Responsible Consumption and Production,89.2%,"efficiency, sustainable"
Indigo,GOAL 12: Responsible Consumption and Production,95.5%,
Himadri Speciality Chemical Ltd,GOAL 8: Decent Work and Economic Growth,61.0%,innovation
Galaxy Surfactants Ltd,GOAL 12: Responsible Consumption and Production,73.0%,"efficiency, renewable, sustainable, packaging"
Maharashtra Seamless Ltd,GOAL 12: Responsible Consumption and Production,37.8%,"renewable, efficiency"
Akzo Nobel India Ltd,GOAL 12: Responsible Consumption and Production,95.2%,
Hindustan Copper Limited,"GOAL 9: Industry, Innovation and Infrastructure",26.3%,
Steel Authority of India Limited (SAIL),GOAL 12: Responsible Consumption and Production,95.5%,efficiency
Vinati Organics Ltd,GOAL 12: Responsible Consumption and Production,97.8%,
Berger Paints India Limited,GOAL 8: Decent Work and Economic Growth,54.9%,employment
Jindal Stainless,"GOAL 9: Industry, Innovation and Infrastructure",49.9%,"technology, manufacturing, automation"
BASF India,GOAL 12: Responsible Consumption and Production,79.0%,efficiency
Deepak Nitrite,GOAL 12: Responsible Consumption and Production,98.9%,"sustainable, efficiency"
Pidilite,"GOAL 9: Industry, Innovation and Infrastructure",36.1%,
UPL Limited,GOAL 12: Responsible Consumption and Production,89.7%,"sustainable, efficiency, packaging"
Linde,"GOAL 9: Industry, Innovation and Infrastructure",40.4%,"manufacturing, technology, research, construction"
Navin Fluorine International Ltd,GOAL 12: Responsible Consumption and Production,84.4%,
JSW Steel,GOAL 12: Responsible Consumption and Production,86.2%,"recycling, efficiency, reuse"
JK Paper Ltd,GOAL 12: Responsible Consumption and Production,98.3%,sustainable
