Company,Predicted SDG Component,Percentage Prediction,Keywords
Tata Communications,GOAL 12: Responsible Consumption and Production,98.3%,sustainable
Tata Consultancy Services,GOAL 12: Responsible Consumption and Production,65.8%,
Affle India Ltd,GOAL 12: Responsible Consumption and Production,83.9%,sustainable
Vodafone Idea,GOAL 12: Responsible Consumption and Production,95.3%,"efficiency, sustainable"
Saregama India Ltd,GOAL 12: Responsible Consumption and Production,41.9%,packaging
PVR Inox Ltd,GOAL 12: Responsible Consumption and Production,92.5%,
Zee,GOAL 14: Life Below Water,88.4%,
Airtel,"GOAL 16: Peace, Justice and Strong Institutions",90.0%,"governance, law"
Indiamart Intermesh Ltd,GOAL 12: Responsible Consumption and Production,98.3%,
Info Edge,"GOAL 9: Industry, Innovation and Infrastructure",77.0%,"technology, startups, research"
Tata Teleservices (Maharashtra) Ltd,"GOAL 9: Industry, Innovation and Infrastructure",44.5%,"technology, automation"
Network 18 Media & Investments Ltd,GOAL 12: Responsible Consumption and Production,95.7%,packaging
Sun TV Network Limited,GOAL 12: Responsible Consumption and Production,45.4%,"efficiency, sustainable"
