Company,Predicted SDG Component,Percentage Prediction,Keywords
KFin Technologies Ltd,GOAL 11: Sustainable Cities and Communities,15.40%,
Infibeam Avenues Ltd,"GOAL 9: Industry, Innovation and Infrastructure",99.00%,"technology, efficiency, broadband"
KPIT Technologies Limited,GOAL 8: Decent Work and Economic Growth,39.10%,"productivity, enterprise, workforce, innovation"
Intellect Design Arena Ltd,"GOAL 9: Industry, Innovation and Infrastructure",98.80%,"technology, research"
Birlasoft Ltd,GOAL 12: Responsible Consumption and Production,93.80%,"sustainable, efficiency"
Dixon Technologies India Ltd,GOAL 12: Responsible Consumption and Production,55.10%,sustainable
Persistent,GOAL 12: Responsible Consumption and Production,86.00%,efficiency
WIPRO,GOAL 12: Responsible Consumption and Production,80.10%,sustainable
Zen Technologies Ltd,GOAL 12: Responsible Consumption and Production,96.80%,sustainable
Tanla Platforms Ltd,GOAL 5: Gender Equality,73.20%,"equity, rights"
Redington Ltd,GOAL 12: Responsible Consumption and Production,64.20%,"renewable, recycling"
Astra Microwave Products Ltd,GOAL 12: Responsible Consumption and Production,98.30%,efficiency
Oracle,"GOAL 9: Industry, Innovation and Infrastructure",99.00%,"technology, automation"
Sterling & Wilson Renewable Energy Ltd,GOAL 7: Affordable and Clean Energy,98.40%,"solar, efficiency, renewable"
Zensar Technologies Ltd,"GOAL 9: Industry, Innovation and Infrastructure",93.00%,"efficiency, research, automation, technology"
Computer Age Management Services Ltd,"GOAL 16: Peace, Justice and Strong Institutions",58.60%,governance
Ultra Tech,GOAL 8: Decent Work and Economic Growth,41.10%,innovation
Mphasis,"GOAL 9: Industry, Innovation and Infrastructure",69.80%,"research, technology, manufacturing"
Firstsource Solutions Ltd,"GOAL 9: Industry, Innovation and Infrastructure",85.20%,"technology, construction"
Happiest Minds,"GOAL 16: Peace, Justice and Strong Institutions",97.70%,governance
Tech Mahindra,"GOAL 9: Industry, Innovation and Infrastructure",87.20%,"technology, efficiency"
HCL Tech,"GOAL 9: Industry, Innovation and Infrastructure",96.50%,"technology, patents, manufacturing, research, efficiency"
Newgen Software Technologies Ltd,GOAL 8: Decent Work and Economic Growth,56.10%,employment
L&T Technology Services,GOAL 12: Responsible Consumption and Production,98.30%,efficiency
Infosys,GOAL 12: Responsible Consumption and Production,92.40%,efficiency
Sonata Software Ltd,GOAL 12: Responsible Consumption and Production,96.40%,
eClerx Services Ltd,GOAL 8: Decent Work and Economic Growth,44.00%,"workforce, productivity"
ABB Limited,GOAL 7: Affordable and Clean Energy,84.60%,"electrification, solar"
Coforge,GOAL 12: Responsible Consumption and Production,59.60%,
Tata Elxsi Limited,GOAL 12: Responsible Consumption and Production,50.60%,efficiency
