Company,Predicted SDG Component,Percentage Prediction,Keywords
Eicher Motors,GOAL 3: Good Health and Well-being,99.2%,"prevention, treatment"
Mahindra Holidays & Resorts India Ltd,GOAL 12: Responsible Consumption and Production,88.9%,efficiency
Endurance technologies Limited,GOAL 12: Responsible Consumption and Production,68.0%,sustainable
Jubilant Foodworks,GOAL 12: Responsible Consumption and Production,95.9%,"sustainable, efficiency, renewable"
Bajaj Auto,GOAL 12: Responsible Consumption and Production,54.2%,efficiency
Mahindra & Mahindra,"GOAL 9: Industry, Innovation and Infrastructure",47.8%,"technology, startups, manufacturing, construction, efficiency, research"
Minda Corporation Ltd,GOAL 7: Affordable and Clean Energy,83.8%,
Thomas Cook (India) Ltd,GOAL 12: Responsible Consumption and Production,98.8%,sustainable
Alok Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",89.3%,
Asahi India Glass Ltd,GOAL 3: Good Health and Well-being,59.9%,"vaccination, treatment"
Bosch,GOAL 12: Responsible Consumption and Production,98.5%,"sustainable, efficiency"
RattanIndia Enterprises Ltd,GOAL 3: Good Health and Well-being,96.4%,"healthcare, vaccination"
Elgi,GOAL 12: Responsible Consumption and Production,85.3%,
Westlife Foodworld Ltd,GOAL 12: Responsible Consumption and Production,94.2%,
Force Motors Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
Raymond Ltd,GOAL 12: Responsible Consumption and Production,67.9%,"sustainable, packaging, renewable, efficiency"
Sundram Fasteners Limited,GOAL 5: Gender Equality,93.9%,equity
EIH Limited,GOAL 12: Responsible Consumption and Production,96.0%,"sustainable, renewable, recycling"
Vardhman Textiles Ltd,GOAL 3: Good Health and Well-being,99.3%,"vaccination, healthcare"
Chalet Hotels Ltd,GOAL 12: Responsible Consumption and Production,98.1%,"sustainable, efficiency, renewable, recycling"
Exide Industries Limited,"GOAL 9: Industry, Innovation and Infrastructure",58.7%,"efficiency, manufacturing, technology, construction"
Swan Energy Limited,GOAL 13: Climate Action,53.5%,"resilience, policy"
Trent Limited,GOAL 12: Responsible Consumption and Production,96.6%,sustainable
Varroc Engineering Ltd,"GOAL 9: Industry, Innovation and Infrastructure",62.0%,"technology, efficiency, manufacturing, automation"
Arvind Ltd,GOAL 8: Decent Work and Economic Growth,42.9%,"employment, enterprise"
Bajaj Electricals Ltd,GOAL 8: Decent Work and Economic Growth,51.8%,"employment, productivity, enterprise, innovation"
Lemon Tree Hotels Ltd,GOAL 12: Responsible Consumption and Production,96.5%,
Unominda,GOAL 12: Responsible Consumption and Production,92.8%,sustainable
Crompton,GOAL 12: Responsible Consumption and Production,40.0%,"efficiency, sustainable"
Tata Consumer Products,GOAL 12: Responsible Consumption and Production,96.8%,sustainable
TTK Prestige Ltd,"GOAL 9: Industry, Innovation and Infrastructure",86.3%,
Amber Enterprises India Ltd,GOAL 12: Responsible Consumption and Production,95.5%,
Bata India Ltd,GOAL 12: Responsible Consumption and Production,63.2%,efficiency
TVS Motor Company,"GOAL 9: Industry, Innovation and Infrastructure",32.9%,"technology, manufacturing"
IHCL,GOAL 12: Responsible Consumption and Production,51.0%,"efficiency, sustainable"
MRF Limited,GOAL 12: Responsible Consumption and Production,92.0%,
CEAT Ltd,GOAL 13: Climate Action,33.3%,"resilience, mitigation, policy"
JBM Auto Limited,GOAL 12: Responsible Consumption and Production,95.1%,efficiency
Hero MotoCorp,GOAL 14: Life Below Water,14.3%,
KPR Mill Limited,GOAL 12: Responsible Consumption and Production,46.4%,efficiency
Maruti Suzuki,GOAL 12: Responsible Consumption and Production,49.9%,"sustainable, efficiency, recycling"
Prestige Group,"GOAL 9: Industry, Innovation and Infrastructure",67.1%,"construction, research"
Welspun Living Ltd,GOAL 12: Responsible Consumption and Production,98.0%,efficiency
Tata Motors,GOAL 3: Good Health and Well-being,99.3%,vaccination
