Company,Predicted SDG Component,Percentage Prediction,Keywords
SBI Life,GOAL 8: Decent Work and Economic Growth,70.2%,workforce
ICICI Lombard,GOAL 12: Responsible Consumption and Production,89.1%,"sustainable, renewable"
Punjab & Sind Bank,GOAL 11: Sustainable Cities and Communities,24.3%,"resilience, infrastructure"
AU Small Finance Bank,GOAL 12: Responsible Consumption and Production,69.7%,"sustainable, efficiency"
ICICI Bank,"GOAL 9: Industry, Innovation and Infrastructure",41.6%,"technology, automation, efficiency"
IDBI Bank,GOAL 8: Decent Work and Economic Growth,52.8%,"employment, enterprise"
RBL Bank Ltd,GOAL 8: Decent Work and Economic Growth,65.2%,"productivity, workforce, enterprise"
Max Financial Services,GOAL 12: Responsible Consumption and Production,98.0%,"efficiency, sustainable"
Union Bank of India,GOAL 8: Decent Work and Economic Growth,32.5%,
HDFC Ltd,GOAL 12: Responsible Consumption and Production,95.4%,efficiency
General Insurance Corporation of India,GOAL 3: Good Health and Well-being,99.6%,"vaccination, prevention, treatment"
Federal Bank,GOAL 12: Responsible Consumption and Production,77.5%,sustainable
Shriram Transport Finance,GOAL 11: Sustainable Cities and Communities,64.6%,
Alfred Herbet,GOAL 12: Responsible Consumption and Production,94.7%,
Ujjivan Small Finance Bank Ltd,GOAL 13: Climate Action,66.4%,"policy, mitigation"
ICICI Securities,GOAL 8: Decent Work and Economic Growth,60.2%,
Indian Overseas bank,"GOAL 9: Industry, Innovation and Infrastructure",62.7%,technology
Aditya Birla Capital,GOAL 12: Responsible Consumption and Production,95.4%,sustainable
Motilal Oswal,GOAL 12: Responsible Consumption and Production,93.5%,"sustainable, efficiency"
Bank of India,GOAL 12: Responsible Consumption and Production,80.7%,
IndusInd Bank,"GOAL 16: Peace, Justice and Strong Institutions",98.1%,"governance, law"
The Muthoot Group,GOAL 8: Decent Work and Economic Growth,67.0%,enterprise
Bengal & Assam Company Ltd,GOAL 12: Responsible Consumption and Production,98.3%,
Chola Financial Holdings,GOAL 12: Responsible Consumption and Production,90.7%,
City Union Bank Ltd,GOAL 8: Decent Work and Economic Growth,68.5%,
IndiaBulls,GOAL 8: Decent Work and Economic Growth,89.4%,
UTI Asset Management Company Ltd,GOAL 12: Responsible Consumption and Production,55.4%,
HDFC AMC,GOAL 12: Responsible Consumption and Production,97.3%,
Bank of Baroda,GOAL 12: Responsible Consumption and Production,30.1%,
IDFC First Bank,GOAL 13: Climate Action,56.1%,policy
LIC HFL,GOAL 8: Decent Work and Economic Growth,44.9%,"innovation, productivity"
HDFC Life,GOAL 8: Decent Work and Economic Growth,69.5%,"innovation, employment"
Mahindra Finance,GOAL 12: Responsible Consumption and Production,84.5%,
AAVAS Financiers Ltd,GOAL 8: Decent Work and Economic Growth,85.7%,"innovation, employment"
PNB Housing,GOAL 12: Responsible Consumption and Production,87.2%,sustainable
Yes,GOAL 12: Responsible Consumption and Production,74.6%,sustainable
Nippon Life India Asset management Limited,GOAL 12: Responsible Consumption and Production,90.8%,efficiency
Indian bank,GOAL 10: Reduced Inequality,48.2%,"privilege, equity"
PNB,GOAL 12: Responsible Consumption and Production,45.6%,efficiency
Indian Energy Exchange Ltd,"GOAL 9: Industry, Innovation and Infrastructure",93.3%,"efficiency, technology"
Bajaj Finserve,GOAL 12: Responsible Consumption and Production,98.5%,
Tube Investments of India Limited,GOAL 12: Responsible Consumption and Production,72.3%,"sustainable, efficiency"
SBI,"GOAL 9: Industry, Innovation and Infrastructure",85.3%,technology
Jammu and Kashmir Bank Ltd,"GOAL 9: Industry, Innovation and Infrastructure",48.1%,"technology, efficiency"
Can Fin Homes Ltd,GOAL 12: Responsible Consumption and Production,98.8%,
REC Limited,GOAL 12: Responsible Consumption and Production,93.2%,"sustainable, renewable, efficiency"
HDFC Bank,"GOAL 9: Industry, Innovation and Infrastructure",70.7%,"efficiency, construction, technology"
CreditAccess,"GOAL 16: Peace, Justice and Strong Institutions",97.7%,"governance, transparency, law"
Central Bank of India,GOAL 8: Decent Work and Economic Growth,42.6%,"employment, enterprise"
New India Assurance Company Limited,GOAL 8: Decent Work and Economic Growth,36.6%,
Power finance Corporation LTD,GOAL 12: Responsible Consumption and Production,98.0%,"renewable, sustainable"
Chola,GOAL 12: Responsible Consumption and Production,55.1%,
UCO Bank,GOAL 8: Decent Work and Economic Growth,65.9%,
Kotak,GOAL 8: Decent Work and Economic Growth,51.9%,employment
SBI Card,GOAL 12: Responsible Consumption and Production,96.5%,
L&T Financial Services,"GOAL 9: Industry, Innovation and Infrastructure",32.1%,"efficiency, technology, construction"
Cummins India Limited,"GOAL 16: Peace, Justice and Strong Institutions",97.4%,"governance, transparency, accountability, law"
ICICI Prudential,GOAL 13: Climate Action,66.3%,"policy, resilience"
Manappuram Finance Ltd,"GOAL 9: Industry, Innovation and Infrastructure",96.5%,"technology, efficiency"
Axis,GOAL 12: Responsible Consumption and Production,91.0%,efficiency
Bank of Maharashtra,"GOAL 9: Industry, Innovation and Infrastructure",74.6%,
Bajaj Finance,GOAL 8: Decent Work and Economic Growth,40.1%,innovation
Bajaj Holdings & Investment,GOAL 12: Responsible Consumption and Production,98.6%,
HUDCO,GOAL 11: Sustainable Cities and Communities,97.1%,"housing, infrastructure"
Capri Global Capital Ltd,"GOAL 9: Industry, Innovation and Infrastructure",50.2%,"research, technology"
Canara Bank,GOAL 13: Climate Action,74.3%,policy
