Company,Predicted SDG Component,Percentage Prediction,Keywords
Westlife Foodworld Ltd,GOAL 12: Responsible Consumption and Production,56.2%,
JBM Auto Limited,GOAL 12: Responsible Consumption and Production,97.6%,"sustainable, renewable, efficiency"
Endurance technologies Limited,GOAL 5: Gender Equality,61.6%,"equity, parity, rights"
Uno Minda Limited,"GOAL 9: Industry, Innovation and Infrastructure",96.3%,"technology, manufacturing, efficiency"
Sundram Fasteners Limited,"GOAL 9: Industry, Innovation and Infrastructure",44.1%,
Eicher Motors,"GOAL 9: Industry, Innovation and Infrastructure",48.1%,"manufacturing, digitalization, technology"
TTK Prestige Ltd,"GOAL 9: Industry, Innovation and Infrastructure",86.3%,
Elgi,GOAL 12: Responsible Consumption and Production,82.7%,efficiency
Bosch,GOAL 12: Responsible Consumption and Production,31.5%,sustainable
Jubilant Foodworks,GOAL 11: Sustainable Cities and Communities,15.4%,
Prestige Estates Projects Limited,GOAL 8: Decent Work and Economic Growth,47.4%,"employment, workforce, innovation"
Vardhman Textiles Ltd,"GOAL 9: Industry, Innovation and Infrastructure",93.4%,"research, technology"
Varroc Engineering Ltd,GOAL 12: Responsible Consumption and Production,59.4%,"sustainable, efficiency"
Mahindra Holidays & Resorts India Ltd,GOAL 12: Responsible Consumption and Production,67.9%,efficiency
Lemon Tree Hotels Ltd,GOAL 7: Affordable and Clean Energy,97.6%,"renewable, sustainable"
EIH Limited,GOAL 12: Responsible Consumption and Production,73.7%,"sustainable, renewable, efficiency"
Bajaj Electricals Ltd,GOAL 12: Responsible Consumption and Production,46.9%,"efficiency, sustainable"
Tata Motors,GOAL 12: Responsible Consumption and Production,86.6%,"sustainable, renewable"
Arvind Ltd,GOAL 11: Sustainable Cities and Communities,27.5%,
Amber Enterprises India Ltd,GOAL 12: Responsible Consumption and Production,74.8%,
Trent Limited,GOAL 12: Responsible Consumption and Production,94.8%,
RattanIndia Enterprises Ltd,"GOAL 9: Industry, Innovation and Infrastructure",93.7%,"technology, manufacturing, research"
Maruti Suzuki,GOAL 12: Responsible Consumption and Production,69.1%,"sustainable, efficiency, recycling"
IHCL,GOAL 12: Responsible Consumption and Production,93.1%,sustainable
Hero Motocorp,GOAL 12: Responsible Consumption and Production,28.2%,sustainable
Minda Corporation Ltd,GOAL 8: Decent Work and Economic Growth,53.2%,innovation
Tata Consumer Products,GOAL 12: Responsible Consumption and Production,97.0%,sustainable
Swan Energy Limited,"GOAL 9: Industry, Innovation and Infrastructure",50.2%,
Thomas Cook (India) Ltd,GOAL 8: Decent Work and Economic Growth,44.1%,"enterprise, employment"
Asahi India Glass Ltd,GOAL 3: Good Health and Well-being,85.9%,"healthcare, vaccination"
Bajaj Auto,"GOAL 9: Industry, Innovation and Infrastructure",91.3%,technology
Force Motors Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
CEAT Ltd,GOAL 12: Responsible Consumption and Production,95.9%,"sustainable, renewable, efficiency"
Exide Industries Limited,GOAL 12: Responsible Consumption and Production,33.5%,efficiency
Mahindra & Mahindra,"GOAL 9: Industry, Innovation and Infrastructure",58.2%,"technology, research, efficiency, manufacturing, logistics, construction"
Raymond Ltd,"GOAL 9: Industry, Innovation and Infrastructure",66.3%,efficiency
Crompton,"GOAL 9: Industry, Innovation and Infrastructure",90.3%,"research, manufacturing"
Bata India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",99.2%,"manufacturing, technology, efficiency"
Chalet Hotels Ltd,GOAL 12: Responsible Consumption and Production,26.6%,"sustainable, efficiency"
Welspun Living Ltd,GOAL 8: Decent Work and Economic Growth,92.8%,"innovation, employment"
MRF Limited,GOAL 12: Responsible Consumption and Production,94.9%,efficiency
KPR Mill Limited,GOAL 10: Reduced Inequality,84.1%,access
Alok Industries Ltd,GOAL 12: Responsible Consumption and Production,60.7%,
TVS Motor Company Limited,GOAL 12: Responsible Consumption and Production,48.1%,sustainable
