Company,Predicted SDG Component,Percentage Prediction,Keywords
JSW Steel,GOAL 12: Responsible Consumption and Production,79.1%,efficiency
Vinati Organics Ltd,GOAL 12: Responsible Consumption and Production,61.4%,
UPL,GOAL 2: Zero Hunger,66.5%,"sustainability, agriculture, crops, plant"
Fine Organic Industries Ltd,GOAL 12: Responsible Consumption and Production,85.3%,"sustainable, packaging"
JK Lakshmi Cement Ltd,GOAL 12: Responsible Consumption and Production,63.8%,"renewable, sustainable, packaging"
EID Parry (India) Ltd,"GOAL 9: Industry, Innovation and Infrastructure",88.5%,"manufacturing, research, technology, construction, efficiency"
Shree cement,GOAL 12: Responsible Consumption and Production,95.8%,"sustainable, efficiency, renewable"
Welspun Corp Ltd,GOAL 12: Responsible Consumption and Production,94.9%,"sustainable, efficiency"
Solar Industries India Limited,GOAL 7: Affordable and Clean Energy,89.8%,solar
Supreme Petrochem Ltd,GOAL 12: Responsible Consumption and Production,85.3%,
Grasim Industries,GOAL 12: Responsible Consumption and Production,75.2%,"efficiency, renewable, sustainable, recycling"
Electrosteel Castings Ltd,GOAL 12: Responsible Consumption and Production,50.2%,
JKCement,GOAL 12: Responsible Consumption and Production,97.6%,"sustainable, renewable, efficiency"
Lloyds Metals and Energy Limited,GOAL 12: Responsible Consumption and Production,29.2%,
JK Paper Ltd,"GOAL 9: Industry, Innovation and Infrastructure",92.7%,manufacturing
Berger Paints India Limited,"GOAL 9: Industry, Innovation and Infrastructure",96.8%,"manufacturing, technology"
Jai Balaji Industries Ltd,GOAL 12: Responsible Consumption and Production,71.4%,"sustainable, efficiency"
Kansai Nerolac Paints,GOAL 12: Responsible Consumption and Production,98.5%,sustainable
Dalmia Bharat Limited,GOAL 12: Responsible Consumption and Production,51.9%,"sustainable, renewable"
Navin Fluorine International Ltd,GOAL 12: Responsible Consumption and Production,91.0%,
Usha Martin Ltd,GOAL 12: Responsible Consumption and Production,92.6%,sustainable
Chambal Fertilisers & Chemicals Ltd,"GOAL 16: Peace, Justice and Strong Institutions",78.2%,"governance, law, transparency"
Galaxy Surfactants Ltd,GOAL 12: Responsible Consumption and Production,91.7%,efficiency
JK Tyre & Industries Ltd,GOAL 2: Zero Hunger,82.3%,sustainability
MOIL Ltd,GOAL 12: Responsible Consumption and Production,97.5%,
Akzo Nobel India Ltd,GOAL 12: Responsible Consumption and Production,98.2%,
Shyam Metalics & Energy Ltd,GOAL 12: Responsible Consumption and Production,97.1%,
Asian Paints_,GOAL 12: Responsible Consumption and Production,95.6%,"sustainable, packaging, recycling, efficiency, renewable"
Steel Authority of India Limited,GOAL 12: Responsible Consumption and Production,96.8%,"sustainable, efficiency, recycling"
Hindustan Copper Limited,"GOAL 9: Industry, Innovation and Infrastructure",36.6%,
Hindustan Zinc,GOAL 12: Responsible Consumption and Production,69.8%,"renewable, sustainable"
Deepak Nitrite Limited,GOAL 8: Decent Work and Economic Growth,70.5%,"innovation, employment"
Jindal Saw Ltd,GOAL 12: Responsible Consumption and Production,64.9%,
Indigo,GOAL 12: Responsible Consumption and Production,88.3%,
Elantas Beck India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",97.8%,"manufacturing, technology"
BASF India,GOAL 12: Responsible Consumption and Production,77.1%,"sustainable, efficiency"
KIOCL Limited,GOAL 12: Responsible Consumption and Production,97.8%,
Vedanta,GOAL 5: Gender Equality,77.3%,"equity, women, rights"
Aarti industries Limited,GOAL 12: Responsible Consumption and Production,97.1%,
Himadri Speciality Chemical Ltd,GOAL 12: Responsible Consumption and Production,96.1%,
Bayer Cropscience Limited,GOAL 12: Responsible Consumption and Production,77.8%,"efficiency, sustainable"
ACC Limited,GOAL 8: Decent Work and Economic Growth,23.8%,"innovation, productivity, workforce, employment"
Maharashtra Seamless Ltd,"GOAL 9: Industry, Innovation and Infrastructure",66.9%,
RCF,GOAL 12: Responsible Consumption and Production,51.7%,efficiency
PI Industries Limited,GOAL 12: Responsible Consumption and Production,86.5%,"sustainable, efficiency, packaging"
Jindal Stainless,GOAL 12: Responsible Consumption and Production,82.1%,"recycling, reuse"
Pidilite,"GOAL 9: Industry, Innovation and Infrastructure",38.8%,"manufacturing, efficiency, automation, technology, construction"
GNFC,GOAL 8: Decent Work and Economic Growth,83.4%,
PCBL,GOAL 12: Responsible Consumption and Production,60.2%,"sustainable, efficiency"
Century Plyboards (India) Ltd,GOAL 12: Responsible Consumption and Production,63.7%,"sustainable, efficiency"
Ambuja Cement,GOAL 12: Responsible Consumption and Production,97.8%,"efficiency, sustainable, renewable"
APL Apollo Tubes Limited,GOAL 12: Responsible Consumption and Production,59.0%,efficiency
