Company,Predicted SDG Component,Percentage Prediction,Keywords
Jubilant Pharmova Ltd,GOAL 8: Decent Work and Economic Growth,49.6%,"productivity, innovation, enterprise"
Laurus Labs,GOAL 3: Good Health and Well-being,99.7%,"diseases, healthcare, hospitals"
Concord Biotech Ltd,GOAL 8: Decent Work and Economic Growth,50.8%,
Sanofi India Ltd,GOAL 12: Responsible Consumption and Production,97.2%,
Astrazeneca Pharma India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",49.7%,
Strides Pharma Science Ltd,GOAL 12: Responsible Consumption and Production,97.8%,"efficiency, sustainable"
Cipla,GOAL 8: Decent Work and Economic Growth,79.7%,"innovation, employment, enterprise"
Sun Pharma,GOAL 12: Responsible Consumption and Production,97.8%,sustainable
Aurobindo,GOAL 12: Responsible Consumption and Production,95.4%,"sustainable, renewable, packaging"
Ipca Laboratories,GOAL 12: Responsible Consumption and Production,40.8%,
Torrent Pharma,GOAL 3: Good Health and Well-being,98.7%,
Caplin Point Laboratories Ltd,GOAL 12: Responsible Consumption and Production,97.6%,
J.B. Chemicals & Pharmaceuticals Limited,GOAL 8: Decent Work and Economic Growth,75.9%,
Abbott India Limited,GOAL 12: Responsible Consumption and Production,88.3%,"sustainable, packaging"
Dr Lal Pathlabs,GOAL 3: Good Health and Well-being,99.4%,"morbidity, vaccination, healthcare, wellness"
Zydus,GOAL 5: Gender Equality,96.0%,equity
Dr. Reddy's,GOAL 12: Responsible Consumption and Production,96.6%,"sustainable, packaging"
Alembic Pharmaceuticals Ltd,GOAL 3: Good Health and Well-being,79.8%,prevention
Lupin,GOAL 12: Responsible Consumption and Production,32.0%,"efficiency, sustainable"
Aster DM Healthcare Ltd,GOAL 12: Responsible Consumption and Production,94.3%,
Suven Pharmaceuticals Ltd,GOAL 3: Good Health and Well-being,78.2%,
Narayana Hrudayalaya Ltd,GOAL 3: Good Health and Well-being,70.0%,"healthcare, hospitals, treatment"
ERIS Lifesciences Ltd,"GOAL 9: Industry, Innovation and Infrastructure",95.4%,"manufacturing, technology, efficiency"
Divi's Laboratories Limited,GOAL 12: Responsible Consumption and Production,94.3%,"sustainable, renewable"
Ajanta Pharma,GOAL 12: Responsible Consumption and Production,36.8%,efficiency
Poly Medicure Ltd,GOAL 12: Responsible Consumption and Production,93.4%,sustainable
Pfizer Limited,"GOAL 9: Industry, Innovation and Infrastructure",67.1%,"technology, manufacturing, efficiency, construction"
Max Healthcare,GOAL 12: Responsible Consumption and Production,97.8%,"sustainable, renewable, recycling"
GlaxoSmithKline Pharmaceuticals,GOAL 12: Responsible Consumption and Production,48.2%,"efficiency, sustainable"
Granules India Ltd,GOAL 12: Responsible Consumption and Production,67.2%,"efficiency, renewable"
Metropolis Healthcare Ltd,GOAL 12: Responsible Consumption and Production,97.5%,efficiency
Apollo Hospitals,GOAL 8: Decent Work and Economic Growth,57.6%,"enterprise, workforce, wages"
