Company,Predicted SDG Component,Percentage Prediction,Keywords
Sonata Software Ltd,GOAL 12: Responsible Consumption and Production,97.2%,"sustainable, recycling"
Sterling & Wilson Renewable Energy Ltd,GOAL 7: Affordable and Clean Energy,97.8%,"renewable, solar, wind, grids, efficiency"
Coforge,GOAL 12: Responsible Consumption and Production,90.5%,
ABB India Limited,GOAL 8: Decent Work and Economic Growth,76.0%,
UltraTech,GOAL 12: Responsible Consumption and Production,96.6%,"efficiency, sustainable, renewable"
Zensar Technologies Ltd,"GOAL 9: Industry, Innovation and Infrastructure",96.4%,"manufacturing, technology"
eClerx Services Ltd,GOAL 8: Decent Work and Economic Growth,41.1%,
HCL Tech,"GOAL 9: Industry, Innovation and Infrastructure",96.8%,"technology, digitalization, efficiency"
Oracle,GOAL 12: Responsible Consumption and Production,91.8%,
Tanla Platforms Ltd,"GOAL 16: Peace, Justice and Strong Institutions",91.8%,"law, governance"
Tech Mahindra,GOAL 12: Responsible Consumption and Production,97.7%,efficiency
Firstsource Solutions Ltd,GOAL 12: Responsible Consumption and Production,96.7%,"sustainable, efficiency"
KPIT technologies,"GOAL 16: Peace, Justice and Strong Institutions",99.2%,"governance, law, transparency"
Infibeam Avenues Ltd,GOAL 12: Responsible Consumption and Production,96.4%,sustainable
Infosys,"GOAL 9: Industry, Innovation and Infrastructure",71.0%,"technology, logistics, manufacturing, automation, efficiency, research"
Astra Microwave Products Ltd,GOAL 12: Responsible Consumption and Production,98.3%,efficiency
Happiest Minds,"GOAL 9: Industry, Innovation and Infrastructure",93.8%,"technology, efficiency, automation, research"
WIPRO,"GOAL 9: Industry, Innovation and Infrastructure",56.7%,"technology, efficiency"
Persistent,GOAL 12: Responsible Consumption and Production,58.9%,
Newgen Software Technologies Ltd,"GOAL 9: Industry, Innovation and Infrastructure",99.0%,"automation, technology, research, efficiency"
KFin Technologies Ltd,GOAL 12: Responsible Consumption and Production,96.4%,
Tata Elxsi Limited,GOAL 8: Decent Work and Economic Growth,42.5%,"innovation, employment"
Computer Age Management Services Ltd,GOAL 13: Climate Action,95.2%,"adaptation, resilience, policy"
Dixon technologies,"GOAL 9: Industry, Innovation and Infrastructure",74.3%,"efficiency, manufacturing, automation, technology, research"
Zen Technologies Ltd,GOAL 12: Responsible Consumption and Production,89.6%,efficiency
Mphasis,"GOAL 9: Industry, Innovation and Infrastructure",77.6%,"technology, research, efficiency"
Redington Ltd,GOAL 12: Responsible Consumption and Production,64.9%,"sustainable, efficiency, renewable"
Birlasoft Ltd,GOAL 12: Responsible Consumption and Production,60.3%,efficiency
L&T technology Services,GOAL 12: Responsible Consumption and Production,96.4%,"sustainable, efficiency"
Intellect Design Arena Ltd,"GOAL 9: Industry, Innovation and Infrastructure",93.3%,"technology, research"
