Company,Predicted SDG Component,Percentage Prediction,Keywords
Techno Electric & Engineering Company Ltd,GOAL 12: Responsible Consumption and Production,88.9%,"sustainable, renewable"
ACE,GOAL 12: Responsible Consumption and Production,68.5%,
Nava Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
NCC Limited,GOAL 12: Responsible Consumption and Production,31.8%,
Finolex Industries,"GOAL 9: Industry, Innovation and Infrastructure",97.4%,efficiency
Ramkrishna Forgings Ltd,GOAL 8: Decent Work and Economic Growth,45.1%,"employment, enterprise"
Shree cement,GOAL 12: Responsible Consumption and Production,95.8%,"sustainable, efficiency, renewable"
Thermax,GOAL 12: Responsible Consumption and Production,82.3%,"sustainable, recycling, renewable"
Astral Limited,GOAL 12: Responsible Consumption and Production,91.6%,sustainable
Gravita India Ltd,GOAL 12: Responsible Consumption and Production,87.8%,recycling
Kirloskar Oil Engines,GOAL 12: Responsible Consumption and Production,84.9%,"sustainable, efficiency"
Transformers & Rectifiers India Ltd,GOAL 12: Responsible Consumption and Production,87.2%,
Inox Wind Ltd,GOAL 12: Responsible Consumption and Production,97.5%,renewable
IRB,GOAL 12: Responsible Consumption and Production,64.4%,"sustainable, efficiency"
Ashok Leyland,GOAL 12: Responsible Consumption and Production,61.5%,
HBL Power Systems Ltd,GOAL 3: Good Health and Well-being,97.1%,
Finolex Cables Limited,GOAL 8: Decent Work and Economic Growth,59.9%,
Bharat Electronics Limited,GOAL 12: Responsible Consumption and Production,96.1%,
Suzlon Energy Ltd,"GOAL 9: Industry, Innovation and Infrastructure",61.6%,
RHI Magnesita India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",50.2%,"manufacturing, technology"
Indian Railway Catering and Tourism Corporation Limited,GOAL 12: Responsible Consumption and Production,97.3%,sustainable
GMR Infrastructure,GOAL 12: Responsible Consumption and Production,82.6%,renewable
Carborundum Universal Limited,GOAL 12: Responsible Consumption and Production,92.7%,"sustainable, efficiency"
Olectra Greentech Ltd,GOAL 12: Responsible Consumption and Production,66.5%,efficiency
Adani Ports and Logistics,"GOAL 9: Industry, Innovation and Infrastructure",58.8%,"logistics, technology"
GE T&D India Limited,GOAL 7: Affordable and Clean Energy,54.5%,"sustainable, wind, renewable, efficiency"
PNC Infratech Ltd,"GOAL 9: Industry, Innovation and Infrastructure",60.1%,construction
Supreme,GOAL 8: Decent Work and Economic Growth,73.2%,innovation
Kajaria,GOAL 13: Climate Action,25.7%,policy
Esab India Ltd,GOAL 12: Responsible Consumption and Production,51.7%,
Voltamp Transformers Ltd,"GOAL 9: Industry, Innovation and Infrastructure",75.4%,efficiency
Blue Dart Express Ltd,"GOAL 9: Industry, Innovation and Infrastructure",98.6%,"technology, logistics, manufacturing"
Quess Corp Ltd,GOAL 3: Good Health and Well-being,99.6%,healthcare
H.G. Infra Engineering Ltd,GOAL 12: Responsible Consumption and Production,66.6%,"sustainable, efficiency"
