Company,Predicted SDG Component,Percentage Prediction,Keywords
Affle India Ltd,GOAL 12: Responsible Consumption and Production,98.4%,sustainable
Saregama India Ltd,GOAL 12: Responsible Consumption and Production,24.6%,
Tata Communications,GOAL 12: Responsible Consumption and Production,54.9%,"sustainable, efficiency"
PVR Inox Ltd,GOAL 12: Responsible Consumption and Production,97.8%,packaging
Sun TV Network Limited,GOAL 8: Decent Work and Economic Growth,53.1%,
Zee,GOAL 2: Zero Hunger,46.9%,"sustainability, plant"
Indiamart Intermesh Ltd,"GOAL 9: Industry, Innovation and Infrastructure",94.3%,"technology, automation, logistics, construction, efficiency"
Tata Teleservices (Maharashtra) Ltd,"GOAL 9: Industry, Innovation and Infrastructure",46.4%,technology
Vodafone Idea Limited,GOAL 12: Responsible Consumption and Production,64.7%,"efficiency, sustainable"
Tata Consultancy Services,"GOAL 16: Peace, Justice and Strong Institutions",97.6%,"law, governance, corruption"
Info Edge India Limited,GOAL 12: Responsible Consumption and Production,69.6%,sustainable
Network 18 Media & Investments Ltd,GOAL 12: Responsible Consumption and Production,47.8%,
Airtel,GOAL 8: Decent Work and Economic Growth,49.4%,"productivity, enterprise, employment, workforce, innovation"
