Company,Predicted SDG Component,Percentage Prediction,Keywords
PVR Inox Ltd,GOAL 12: Responsible Consumption and Production,70.8%,"efficiency, sustainable"
Tata Teleservices (Maharashtra) Ltd,"GOAL 9: Industry, Innovation and Infrastructure",98.8%,"technology, broadband, manufacturing"
Network 18 Media & Investments Ltd,GOAL 11: Sustainable Cities and Communities,15.4%,
Tata Communications,"GOAL 9: Industry, Innovation and Infrastructure",98.9%,"manufacturing, automation, research, technology, efficiency"
Tata Consultancy Services,"GOAL 16: Peace, Justice and Strong Institutions",91.8%,"governance, accountability, corruption"
ZEE,"GOAL 9: Industry, Innovation and Infrastructure",90.7%,technology
Infoedge,"GOAL 9: Industry, Innovation and Infrastructure",79.6%,technology
Affle India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",87.3%,"technology, patents"
Sun TV network,GOAL 8: Decent Work and Economic Growth,35.5%,
Indiamart Intermesh Ltd,GOAL 12: Responsible Consumption and Production,93.4%,"sustainable, efficiency"
Saregama India Ltd,GOAL 12: Responsible Consumption and Production,29.0%,"reuse, recycling, sustainable"
Vodafone Idea Limited,"GOAL 16: Peace, Justice and Strong Institutions",20.1%,"law, governance, accountability"
Airtel,GOAL 8: Decent Work and Economic Growth,89.3%,"innovation, enterprise, workforce, employment"
