Company,Predicted SDG Component,Percentage Prediction,Keywords
HCL Tech,GOAL 12: Responsible Consumption and Production,55.7%,"efficiency, sustainable"
UltraTech,"GOAL 16: Peace, Justice and Strong Institutions",95.5%,governance
Zensar Technologies Ltd,GOAL 12: Responsible Consumption and Production,54.4%,"sustainable, efficiency"
Newgen Software Technologies Ltd,GOAL 12: Responsible Consumption and Production,68.6%,"sustainable, efficiency"
Birlasoft Ltd,"GOAL 16: Peace, Justice and Strong Institutions",84.0%,"accountability, governance, law"
Sonata Software Ltd,GOAL 12: Responsible Consumption and Production,97.7%,sustainable
KFin Technologies Ltd,GOAL 8: Decent Work and Economic Growth,58.0%,"innovation, employment"
Sterling & Wilson Renewable Energy Ltd,GOAL 12: Responsible Consumption and Production,57.7%,"renewable, efficiency"
Computer Age Management Services Ltd,"GOAL 9: Industry, Innovation and Infrastructure",59.0%,"technology, efficiency, research"
eClerx Services Ltd,GOAL 15: Life on Land,63.6%,
Dixon Technologies,"GOAL 9: Industry, Innovation and Infrastructure",75.6%,"efficiency, manufacturing, research, construction, technology"
Persistent,"GOAL 9: Industry, Innovation and Infrastructure",97.8%,"automation, technology, logistics, construction, research"
Happiest Minds,"GOAL 9: Industry, Innovation and Infrastructure",99.5%,"technology, construction, automation, manufacturing, research"
Tata Elxsi Limited,"GOAL 9: Industry, Innovation and Infrastructure",99.1%,"technology, efficiency"
Coforge,GOAL 12: Responsible Consumption and Production,97.4%,
Infosys,GOAL 12: Responsible Consumption and Production,70.8%,efficiency
L&T Technology Services,GOAL 12: Responsible Consumption and Production,95.7%,"sustainable, efficiency, recycling"
Redington Ltd,GOAL 12: Responsible Consumption and Production,92.6%,efficiency
ABB India Limited,GOAL 12: Responsible Consumption and Production,98.6%,
Astra Microwave Products Ltd,GOAL 12: Responsible Consumption and Production,98.4%,"efficiency, sustainable, renewable, recycling"
Zen Technologies Ltd,GOAL 12: Responsible Consumption and Production,43.1%,"sustainable, efficiency"
WIPRO,GOAL 8: Decent Work and Economic Growth,37.4%,"enterprise, employment"
Infibeam Avenues Ltd,GOAL 12: Responsible Consumption and Production,98.2%,"sustainable, efficiency"
Mphasis,"GOAL 9: Industry, Innovation and Infrastructure",79.0%,"technology, efficiency"
Tanla Platforms Ltd,"GOAL 9: Industry, Innovation and Infrastructure",99.3%,patents
Oracle,"GOAL 9: Industry, Innovation and Infrastructure",98.6%,"automation, technology, manufacturing"
Tech Mahindra,"GOAL 9: Industry, Innovation and Infrastructure",77.8%,"technology, efficiency"
Intellect Design Arena Ltd,"GOAL 9: Industry, Innovation and Infrastructure",99.5%,"technology, startups, research, automation"
Firstsource Solutions Ltd,"GOAL 9: Industry, Innovation and Infrastructure",87.5%,"manufacturing, technology, efficiency"
KPIT Technologies,GOAL 12: Responsible Consumption and Production,96.5%,"sustainable, efficiency"
