Company,Predicted SDG Component,Percentage Prediction,Keywords
Suzlon Energy Ltd,GOAL 7: Affordable and Clean Energy,97.9%,"wind, renewable, sustainable, solar, efficiency"
Great Eastern Shipping Company Ltd,"GOAL 9: Industry, Innovation and Infrastructure",48.1%,"research, efficiency"
BLS International Services Ltd,GOAL 5: Gender Equality,86.0%,"women, equity"
Ashok Leyland Limited,GOAL 12: Responsible Consumption and Production,82.9%,"renewable, sustainable, efficiency"
Genus Power Infrastructures Ltd,GOAL 12: Responsible Consumption and Production,95.0%,
Finolex Industries,GOAL 8: Decent Work and Economic Growth,51.8%,"prosperity, employment"
Rites Ltd,"GOAL 9: Industry, Innovation and Infrastructure",49.7%,"technology, construction"
Nava Ltd,GOAL 8: Decent Work and Economic Growth,39.6%,employment
Gravita India Ltd,GOAL 12: Responsible Consumption and Production,99.2%,"sustainable, recycling, packaging"
Polycab,GOAL 12: Responsible Consumption and Production,63.1%,"sustainable, efficiency"
Praj Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",68.0%,"manufacturing, technology, research"
Bharat Heavy Electricals,GOAL 12: Responsible Consumption and Production,98.1%,
KEI Industries,GOAL 12: Responsible Consumption and Production,97.2%,renewable
Cochin Shipyard,GOAL 12: Responsible Consumption and Production,55.7%,sustainable
Siemens,"GOAL 9: Industry, Innovation and Infrastructure",96.9%,"technology, efficiency"
ACE,GOAL 12: Responsible Consumption and Production,74.7%,
Carborundum Universal Limited,GOAL 12: Responsible Consumption and Production,92.6%,sustainable
Titagarh Rail Systems Ltd,"GOAL 9: Industry, Innovation and Infrastructure",66.4%,"manufacturing, technology, research, digitalization"
Escorts Kubota Limited,GOAL 8: Decent Work and Economic Growth,67.6%,"prosperity, productivity, innovation"
Blue Dart Express Ltd,GOAL 10: Reduced Inequality,35.9%,"access, equity"
Rail Vikas Nigam Limited,GOAL 12: Responsible Consumption and Production,85.0%,
Triveni Turbine Ltd,GOAL 8: Decent Work and Economic Growth,62.0%,innovation
Honeywell,"GOAL 16: Peace, Justice and Strong Institutions",85.4%,"governance, transparency, accountability"
ISGEC Heavy Engineering Ltd,GOAL 12: Responsible Consumption and Production,35.3%,efficiency
Olectra Greentech Ltd,"GOAL 9: Industry, Innovation and Infrastructure",33.2%,"construction, manufacturing, efficiency"
Kirloskar Oil Engines,GOAL 8: Decent Work and Economic Growth,37.9%,"innovation, productivity"
HBL Power Systems Ltd,GOAL 12: Responsible Consumption and Production,55.5%,efficiency
Supreme,GOAL 8: Decent Work and Economic Growth,80.4%,
Ircon,GOAL 12: Responsible Consumption and Production,97.5%,"renewable, efficiency"
CRISIL,GOAL 12: Responsible Consumption and Production,95.9%,"sustainable, efficiency"
Esab India Ltd,GOAL 8: Decent Work and Economic Growth,58.6%,
Larsen & Toubro,"GOAL 9: Industry, Innovation and Infrastructure",84.9%,"manufacturing, research, construction, technology, logistics, efficiency"
BEML,GOAL 13: Climate Action,71.2%,"resilience, policy"
Techno Electric & Engineering Company Ltd,GOAL 12: Responsible Consumption and Production,97.7%,sustainable
Astral,GOAL 12: Responsible Consumption and Production,98.4%,sustainable
Graphite India Ltd,GOAL 12: Responsible Consumption and Production,63.3%,sustainable
Grindwell Norton,GOAL 12: Responsible Consumption and Production,82.8%,efficiency
NCC Limited,GOAL 12: Responsible Consumption and Production,43.6%,"efficiency, sustainable"
Indian Railway Catering and Tourism Corporation Limited,GOAL 12: Responsible Consumption and Production,97.2%,"sustainable, efficiency"
GMR Infrastructure,GOAL 12: Responsible Consumption and Production,87.5%,"sustainable, renewable"
Concor,GOAL 12: Responsible Consumption and Production,93.8%,"efficiency, sustainable"
Jaiprakash Power Ventures Ltd,"GOAL 9: Industry, Innovation and Infrastructure",42.3%,"technology, research, construction"
APAR Industries,"GOAL 9: Industry, Innovation and Infrastructure",84.3%,"manufacturing, logistics, efficiency"
3M India Limited,GOAL 12: Responsible Consumption and Production,95.9%,"sustainable, efficiency, packaging"
CG Power and Industrial Solutions,GOAL 12: Responsible Consumption and Production,97.6%,"efficiency, sustainable"
Lakshmi Machine Works Ltd,GOAL 12: Responsible Consumption and Production,74.9%,"recycling, efficiency"
PNC Infratech Ltd,GOAL 8: Decent Work and Economic Growth,69.2%,wages
Kirloskar Ferrous Industries Ltd,GOAL 5: Gender Equality,62.6%,"equity, rights"
SKF India Limited,GOAL 12: Responsible Consumption and Production,92.0%,sustainable
Bharat Dynamics,GOAL 12: Responsible Consumption and Production,58.0%,
Inox Wind Ltd,GOAL 12: Responsible Consumption and Production,97.5%,"sustainable, renewable"
GE T&D India Limited,GOAL 7: Affordable and Clean Energy,54.1%,"hydroelectric, efficiency"
Jupiter Wagons Limited,GOAL 12: Responsible Consumption and Production,82.3%,efficiency
Bharat Electronics,GOAL 12: Responsible Consumption and Production,93.3%,sustainable
H.G. Infra Engineering Ltd,GOAL 12: Responsible Consumption and Production,93.5%,"efficiency, recycling"
AIA Engineering Limited,"GOAL 9: Industry, Innovation and Infrastructure",67.1%,"technology, manufacturing"
Ingersoll-Rand (India) Ltd,"GOAL 9: Industry, Innovation and Infrastructure",63.1%,
Havells,GOAL 8: Decent Work and Economic Growth,42.2%,"workforce, innovation, employment, enterprise"
RHI Magnesita India Ltd,GOAL 12: Responsible Consumption and Production,47.8%,"sustainable, efficiency"
Kalpataru Projects,GOAL 12: Responsible Consumption and Production,96.9%,"sustainable, efficiency"
Transformers & Rectifiers India Ltd,GOAL 12: Responsible Consumption and Production,86.4%,
Voltamp Transformers Ltd,"GOAL 9: Industry, Innovation and Infrastructure",42.0%,"manufacturing, efficiency"
Kirloskar Brothers Ltd,GOAL 13: Climate Action,44.8%,"policy, emissions"
Cyient,"GOAL 9: Industry, Innovation and Infrastructure",92.6%,"manufacturing, technology, efficiency, research"
Thermax,"GOAL 9: Industry, Innovation and Infrastructure",86.6%,"manufacturing, technology, efficiency, construction"
Elecon Engineering Company Ltd,"GOAL 9: Industry, Innovation and Infrastructure",98.9%,"manufacturing, technology, research, construction"
Adani Ports & Logistics,"GOAL 9: Industry, Innovation and Infrastructure",99.2%,"logistics, technology, construction, efficiency"
Vesuvius India Ltd,GOAL 12: Responsible Consumption and Production,98.1%,"sustainable, efficiency"
Garden Reach Shipbuilders & Engineers Ltd,GOAL 12: Responsible Consumption and Production,95.3%,sustainable
Cera Sanitaryware Ltd,GOAL 12: Responsible Consumption and Production,92.1%,
Kajaria,GOAL 13: Climate Action,23.4%,"resilience, policy"
Engineers India Ltd,GOAL 12: Responsible Consumption and Production,96.2%,"renewable, sustainable"
