Company,Predicted SDG Component,Percentage Prediction,Keywords
Elantas Beck India Ltd,"GOAL 9: Industry, Innovation and Infrastructure",86.50%,"manufacturing, technology"
KIOCL Limited,"GOAL 9: Industry, Innovation and Infrastructure",96.70%,"technology, construction"
Alkyl Amines Chemicals Ltd,GOAL 12: Responsible Consumption and Production,96.90%,
Lloyds Metals and Energy Limited,GOAL 12: Responsible Consumption and Production,18.40%,sustainable
Tata Steel,GOAL 12: Responsible Consumption and Production,52.80%,"efficiency, sustainable, recycling"
Ambuja Cement,GOAL 12: Responsible Consumption and Production,67.50%,"efficiency, sustainable"
Kansai Nerolac Paints,GOAL 8: Decent Work and Economic Growth,51.30%,innovation
Maharashtra Seamless Ltd,GOAL 12: Responsible Consumption and Production,87.80%,
Grasim Industries,GOAL 12: Responsible Consumption and Production,83.70%,"sustainable, reuse, biodegradable, renewable"
PI Industries,GOAL 12: Responsible Consumption and Production,97.70%,"sustainable, efficiency, renewable"
Chambal Fertilisers & Chemicals Ltd,GOAL 12: Responsible Consumption and Production,87.10%,packaging
Century Plyboards (India) Ltd,GOAL 8: Decent Work and Economic Growth,55.00%,"innovation, prosperity, workforce"
MOIL Ltd,GOAL 12: Responsible Consumption and Production,83.10%,
Vinati Organics Ltd,GOAL 12: Responsible Consumption and Production,99.00%,
Bayer CropScience Limited,GOAL 12: Responsible Consumption and Production,96.70%,"sustainable, efficiency"
Asian Paints,GOAL 12: Responsible Consumption and Production,98.50%,"sustainable, efficiency, packaging, renewable"
Vedanta,GOAL 7: Affordable and Clean Energy,93.90%,"sustainable, renewable"
Himadri Speciality Chemical Ltd,GOAL 12: Responsible Consumption and Production,95.10%,"sustainable, efficiency"
Fine Organic Industries Ltd,GOAL 12: Responsible Consumption and Production,97.70%,"efficiency, sustainable"
Sandur Manganese & Iron Ores Ltd,GOAL 12: Responsible Consumption and Production,97.90%,"sustainable, renewable, efficiency"
EID Parry (India) Ltd,"GOAL 9: Industry, Innovation and Infrastructure",51.30%,"efficiency, research, manufacturing, technology"
Electrosteel Castings Ltd,GOAL 8: Decent Work and Economic Growth,65.00%,enterprise
Welspun Corp Ltd,GOAL 12: Responsible Consumption and Production,61.90%,"recycling, sustainable, renewable"
Solar Industries India Limited,GOAL 7: Affordable and Clean Energy,94.60%,"solar, sustainable, conservation, efficiency"
Supreme Petrochem Ltd,GOAL 12: Responsible Consumption and Production,83.90%,
Hindustan Copper Limited,GOAL 8: Decent Work and Economic Growth,46.40%,
Steel Authority of India Limited,GOAL 12: Responsible Consumption and Production,96.90%,"efficiency, sustainable, recycling"
Tata Chemicals,GOAL 12: Responsible Consumption and Production,98.20%,"sustainable, packaging, renewable, efficiency"
Birla Corporation Ltd,GOAL 12: Responsible Consumption and Production,54.80%,efficiency
Godawari Power & Ispat Ltd,GOAL 12: Responsible Consumption and Production,98.50%,"sustainable, efficiency"
Jai Balaji Industries Ltd,GOAL 13: Climate Action,64.40%,policy
Shyam Metalics & Energy Ltd,GOAL 12: Responsible Consumption and Production,96.50%,efficiency
JKCement,GOAL 12: Responsible Consumption and Production,94.40%,"sustainable, renewable, efficiency"
JSW Steel,GOAL 12: Responsible Consumption and Production,91.20%,"sustainable, renewable, efficiency, packaging, recycling"
JK Paper Ltd,"GOAL 9: Industry, Innovation and Infrastructure",72.30%,"technology, manufacturing, logistics"
JK Tyre & Industries Ltd,"GOAL 9: Industry, Innovation and Infrastructure",98.50%,"manufacturing, technology, automation, research"
Jindal Saw Ltd,GOAL 12: Responsible Consumption and Production,96.10%,sustainable
Galaxy Surfactants Ltd,"GOAL 9: Industry, Innovation and Infrastructure",33.60%,"research, efficiency, manufacturing"
APL Apollo Tubes,"GOAL 16: Peace, Justice and Strong Institutions",76.90%,"governance, transparency, accountability, law"
Coromandel,GOAL 12: Responsible Consumption and Production,88.90%,sustainable
Usha Martin Ltd,GOAL 12: Responsible Consumption and Production,98.30%,"sustainable, efficiency"
RCF,GOAL 12: Responsible Consumption and Production,98.10%,"sustainable, recycling, packaging, renewable"
Deepak Nitrite Limited,GOAL 12: Responsible Consumption and Production,75.40%,"sustainable, efficiency"
Star Cement Ltd,GOAL 12: Responsible Consumption and Production,72.80%,"sustainable, efficiency"
Hindalco,GOAL 12: Responsible Consumption and Production,41.00%,"packaging, recycling, renewable, sustainable, efficiency"
Jindal Steel & Power,GOAL 8: Decent Work and Economic Growth,54.30%,
Akzo Nobel India Ltd,GOAL 12: Responsible Consumption and Production,97.80%,
PCBL,GOAL 12: Responsible Consumption and Production,61.20%,"efficiency, recycling, sustainable"
GNFC,GOAL 12: Responsible Consumption and Production,92.50%,sustainable
UPL,GOAL 12: Responsible Consumption and Production,86.50%,"sustainable, efficiency"
Navin Fluorine International Ltd,GOAL 12: Responsible Consumption and Production,94.30%,"sustainable, recycling, renewable, packaging, efficiency"
Hindustan Zinc,GOAL 12: Responsible Consumption and Production,95.40%,"sustainable, renewable"
BASF India,GOAL 12: Responsible Consumption and Production,97.70%,"sustainable, efficiency"
JK Lakshmi Cement Ltd,GOAL 13: Climate Action,44.80%,"resilience, emissions, policy"
Dalmia Bharat Limited,"GOAL 9: Industry, Innovation and Infrastructure",96.20%,"manufacturing, construction, automation, efficiency, technology, logistics"
Linde India Limited,GOAL 5: Gender Equality,94.90%,equity
Jindal Stainless,GOAL 12: Responsible Consumption and Production,93.60%,"sustainable, efficiency, renewable, recycling, reuse"
Pidilite,GOAL 11: Sustainable Cities and Communities,62.30%,
Berger Paints India Limited,"GOAL 9: Industry, Innovation and Infrastructure",98.90%,"manufacturing, logistics, construction, efficiency, technology, automation"
NMDC,GOAL 11: Sustainable Cities and Communities,15.40%,
