Company,Predicted SDG Component,Percentage Prediction,Keywords
TTK Prestige Ltd,"GOAL 9: Industry, Innovation and Infrastructure",86.6%,technology
Asahi India Glass Ltd,GOAL 12: Responsible Consumption and Production,57.5%,"sustainable, renewable"
Bata India Ltd,GOAL 12: Responsible Consumption and Production,88.7%,
JBM Auto Limited,GOAL 12: Responsible Consumption and Production,97.8%,"sustainable, efficiency"
Tata Motors,GOAL 8: Decent Work and Economic Growth,51.5%,employment
Mahindra Holidays & Resorts India Ltd,GOAL 12: Responsible Consumption and Production,79.2%,"sustainable, efficiency"
Bajaj Auto,GOAL 12: Responsible Consumption and Production,77.6%,"renewable, efficiency, reuse, sustainable"
Lemon Tree Hotels Ltd,GOAL 8: Decent Work and Economic Growth,63.0%,"innovation, enterprise"
CEAT Ltd,"GOAL 9: Industry, Innovation and Infrastructure",45.6%,"manufacturing, automation, logistics, technology, research"
Mahindra & Mahindra,GOAL 8: Decent Work and Economic Growth,43.1%,"innovation, wages, employment"
Jubilant Foodworks,GOAL 12: Responsible Consumption and Production,93.7%,"packaging, sustainable"
RattanIndia Enterprises Ltd,"GOAL 9: Industry, Innovation and Infrastructure",90.4%,
TVS,GOAL 3: Good Health and Well-being,25.1%,"prevention, hygiene"
Chalet Hotels Ltd,GOAL 12: Responsible Consumption and Production,97.3%,"sustainable, efficiency, renewable"
Elgi Equipments Limited,GOAL 12: Responsible Consumption and Production,71.0%,efficiency
Vardhman Textiles Ltd,GOAL 12: Responsible Consumption and Production,87.7%,sustainable
Alok Industries Ltd,GOAL 12: Responsible Consumption and Production,54.7%,
Raymond Ltd,"GOAL 9: Industry, Innovation and Infrastructure",77.6%,"construction, manufacturing, logistics, efficiency"
Endurance Technologies Limited,GOAL 12: Responsible Consumption and Production,66.6%,"sustainable, efficiency"
Crompton,GOAL 12: Responsible Consumption and Production,97.5%,sustainable
EIH Limited,GOAL 12: Responsible Consumption and Production,98.1%,"sustainable, renewable, reuse, efficiency"
Arvind Ltd,GOAL 8: Decent Work and Economic Growth,41.5%,"productivity, enterprise"
MRF Limited,GOAL 12: Responsible Consumption and Production,96.9%,
Uno Minda Limited,GOAL 12: Responsible Consumption and Production,90.8%,
Swan Energy Limited,GOAL 7: Affordable and Clean Energy,95.5%,sustainable
IHCL,"GOAL 9: Industry, Innovation and Infrastructure",59.1%,"technology, manufacturing"
Maruti Suzuki,GOAL 12: Responsible Consumption and Production,92.4%,"recycling, sustainable, renewable, efficiency"
Minda Corporation Ltd,"GOAL 9: Industry, Innovation and Infrastructure",69.1%,"technology, manufacturing, efficiency"
Eicher Motors,GOAL 12: Responsible Consumption and Production,48.6%,"sustainable, efficiency"
Force Motors Ltd,GOAL 8: Decent Work and Economic Growth,35.0%,employment
KPR Mill Limited,GOAL 10: Reduced Inequality,49.5%,"access, equity"
Westlife Foodworld Ltd,"GOAL 9: Industry, Innovation and Infrastructure",94.5%,logistics
Sundram Fasteners Limited,GOAL 12: Responsible Consumption and Production,80.4%,
Bajaj Electricals Ltd,GOAL 12: Responsible Consumption and Production,91.1%,"sustainable, efficiency"
Varroc Engineering Ltd,GOAL 12: Responsible Consumption and Production,89.3%,"renewable, sustainable"
Trent Limited,GOAL 12: Responsible Consumption and Production,97.3%,sustainable
Hero MotoCorp,GOAL 8: Decent Work and Economic Growth,26.3%,innovation
Tata Consumer Products,"GOAL 9: Industry, Innovation and Infrastructure",86.2%,"efficiency, research, technology, logistics, manufacturing"
Exide Industries,GOAL 12: Responsible Consumption and Production,87.0%,"sustainable, efficiency"
Welspun Living Ltd,GOAL 12: Responsible Consumption and Production,93.7%,"efficiency, sustainable"
Prestige Group,GOAL 8: Decent Work and Economic Growth,33.1%,"prosperity, innovation, employment, workforce"
Bosch,"GOAL 9: Industry, Innovation and Infrastructure",98.9%,research
Thomas Cook (India) Ltd,GOAL 12: Responsible Consumption and Production,78.3%,
Amber Enterprises India Ltd,GOAL 7: Affordable and Clean Energy,63.0%,"sustainable, conservation"
