Company,Predicted SDG Component,Percentage Prediction,Keywords
Pfizer,GOAL 8: Decent Work and Economic Growth,57.9%,employment
GlaxoSmithKline Pharmaceuticals,GOAL 12: Responsible Consumption and Production,97.6%,sustainable
Laurus Labs,GOAL 3: Good Health and Well-being,97.8%,healthcare
Aurobindo,"GOAL 9: Industry, Innovation and Infrastructure",69.5%,"efficiency, manufacturing"
Dr. Lal Pathlabs Limited,GOAL 12: Responsible Consumption and Production,98.7%,efficiency
Jubilant Pharmova Ltd,GOAL 10: Reduced Inequality,31.7%,equity
Granules India Ltd,GOAL 12: Responsible Consumption and Production,94.5%,"packaging, efficiency, sustainable"
Alembic Pharmaceuticals Ltd,GOAL 12: Responsible Consumption and Production,75.6%,packaging
Narayana Hrudayalaya Ltd,"GOAL 9: Industry, Innovation and Infrastructure",60.0%,"technology, research, efficiency"
Strides Pharma Science Ltd,GOAL 12: Responsible Consumption and Production,97.9%,"sustainable, efficiency, packaging"
Sanofi India Ltd,GOAL 12: Responsible Consumption and Production,49.9%,"sustainable, efficiency, renewable, packaging"
Poly Medicure Ltd,GOAL 12: Responsible Consumption and Production,93.4%,sustainable
Sun Pharma,GOAL 12: Responsible Consumption and Production,97.8%,"efficiency, sustainable, packaging"
Max Healthcare,GOAL 12: Responsible Consumption and Production,94.8%,"efficiency, sustainable, renewable"
Lupin,GOAL 12: Responsible Consumption and Production,97.3%,"sustainable, efficiency, renewable"
Ajanta Pharma,GOAL 3: Good Health and Well-being,98.8%,"prevention, healthcare, wellness, hygiene, hospitals"
Suven Pharmaceuticals Ltd,GOAL 12: Responsible Consumption and Production,98.3%,
J.B Chemicals & Pharmaceuticals Limited,GOAL 8: Decent Work and Economic Growth,65.8%,
Divi's Laboratories,GOAL 12: Responsible Consumption and Production,94.4%,"sustainable, efficiency, renewable"
Cipla,"GOAL 9: Industry, Innovation and Infrastructure",54.3%,"research, manufacturing, automation, technology, efficiency"
Zydus,GOAL 5: Gender Equality,99.2%,"empowerment, equity"
Ipca Laboratories,GOAL 12: Responsible Consumption and Production,58.5%,
ERIS Lifesciences Ltd,"GOAL 9: Industry, Innovation and Infrastructure",80.8%,"manufacturing, technology"
Astrazeneca Pharma India Ltd,GOAL 3: Good Health and Well-being,97.6%,"healthcare, treatment, diseases"
Dr. Reddy's,"GOAL 16: Peace, Justice and Strong Institutions",56.2%,"governance, law, accountability, transparency"
Torrent Pharmaceuticals,GOAL 3: Good Health and Well-being,68.7%,"healthcare, hygiene, sanitation"
Aster DM Healthcare Ltd,GOAL 3: Good Health and Well-being,98.8%,"healthcare, treatment, hospitals, hygiene, prevention"
Abbott,GOAL 12: Responsible Consumption and Production,78.6%,"sustainable, packaging"
Caplin Point Laboratories Ltd,GOAL 12: Responsible Consumption and Production,97.5%,"sustainable, efficiency"
Metropolis Healthcare Ltd,GOAL 12: Responsible Consumption and Production,97.3%,efficiency
Concord Biotech Ltd,GOAL 12: Responsible Consumption and Production,96.3%,sustainable
Apollo Hospitals,GOAL 12: Responsible Consumption and Production,68.0%,
