Company,Predicted SDG Component,Percentage Prediction,Keywords
Capri Global Capital Ltd,GOAL 13: Climate Action,19.6%,policy
AU Small Finance Bank,GOAL 8: Decent Work and Economic Growth,86.2%,"innovation, prosperity, employment, enterprise"
UCO Bank,GOAL 12: Responsible Consumption and Production,53.9%,efficiency
HDFC AMC,"GOAL 9: Industry, Innovation and Infrastructure",57.1%,"technology, efficiency, automation"
Motilal Oswal,GOAL 8: Decent Work and Economic Growth,85.8%,enterprise
Bajaj Finserv,GOAL 12: Responsible Consumption and Production,97.8%,sustainable
IndiaBulls,GOAL 12: Responsible Consumption and Production,80.9%,efficiency
The Muthoot Group,GOAL 12: Responsible Consumption and Production,34.5%,"sustainable, recycling, efficiency"
Yes Bank,GOAL 12: Responsible Consumption and Production,95.0%,sustainable
L&T Finance,GOAL 8: Decent Work and Economic Growth,38.9%,employment
Indian Energy Exchange Ltd,GOAL 7: Affordable and Clean Energy,79.5%,"electrification, renewable, efficiency, sustainable"
Bank of Baroda,GOAL 12: Responsible Consumption and Production,58.4%,
Kotak Mahindra Bank,GOAL 8: Decent Work and Economic Growth,55.0%,"workforce, innovation, enterprise, employment"
HDFC Life,GOAL 8: Decent Work and Economic Growth,85.3%,"innovation, employment"
Manappuram Finance Ltd,GOAL 12: Responsible Consumption and Production,97.7%,efficiency
Indian Bank,GOAL 8: Decent Work and Economic Growth,86.6%,
City Union Bank Ltd,GOAL 8: Decent Work and Economic Growth,48.5%,employment
Central bank of India,GOAL 8: Decent Work and Economic Growth,61.8%,employment
General Insurance Corporation of India,GOAL 12: Responsible Consumption and Production,93.2%,
Bank of India,GOAL 12: Responsible Consumption and Production,76.1%,
New India Assurance Compay,GOAL 8: Decent Work and Economic Growth,40.9%,"enterprise, employment"
Mahindra Finance,GOAL 12: Responsible Consumption and Production,96.3%,"efficiency, sustainable, packaging"
CreditAccess,GOAL 12: Responsible Consumption and Production,84.5%,
Bajaj Holdings & Investment Limited,GOAL 12: Responsible Consumption and Production,97.9%,
Jammu and Kashmir Bank Ltd,GOAL 8: Decent Work and Economic Growth,28.1%,"innovation, employment, enterprise"
Tube Investments of India,GOAL 12: Responsible Consumption and Production,54.8%,efficiency
Ujjivan Small Finance Bank Ltd,GOAL 11: Sustainable Cities and Communities,22.0%,"housing, infrastructure"
Can Fin Homes Ltd,GOAL 12: Responsible Consumption and Production,96.3%,"sustainable, packaging, recycling"
PNB,"GOAL 9: Industry, Innovation and Infrastructure",72.3%,"technology, digitalization, efficiency"
SBI Card,GOAL 12: Responsible Consumption and Production,97.6%,sustainable
ICICI Prudential,GOAL 12: Responsible Consumption and Production,90.1%,"sustainable, efficiency"
SBI Life,"GOAL 9: Industry, Innovation and Infrastructure",92.5%,"efficiency, technology"
AAVAS Financiers Ltd,"GOAL 9: Industry, Innovation and Infrastructure",76.8%,"technology, research, efficiency"
REC,GOAL 8: Decent Work and Economic Growth,32.6%,employment
Axis Bank,"GOAL 9: Industry, Innovation and Infrastructure",77.6%,"efficiency, technology, automation"
ICICI Bank,GOAL 12: Responsible Consumption and Production,98.2%,efficiency
PNB Housing,"GOAL 16: Peace, Justice and Strong Institutions",26.3%,"law, governance, accountability"
IDFC First Bank,"GOAL 9: Industry, Innovation and Infrastructure",52.3%,"technology, research"
Max Financial Services,GOAL 12: Responsible Consumption and Production,96.4%,sustainable
Alfred Herbet India,GOAL 12: Responsible Consumption and Production,98.2%,
Union Bank of India,GOAL 8: Decent Work and Economic Growth,75.6%,
Bengal & Assam Company Ltd,GOAL 12: Responsible Consumption and Production,98.3%,efficiency
Hudco,GOAL 8: Decent Work and Economic Growth,76.5%,employment
Nippon Life,GOAL 8: Decent Work and Economic Growth,88.7%,employment
Cummins India,GOAL 12: Responsible Consumption and Production,87.8%,"sustainable, recycling, reuse, packaging"
Aditya Birla Capital,GOAL 8: Decent Work and Economic Growth,76.8%,prosperity
Chola Financial Holdings,GOAL 12: Responsible Consumption and Production,97.5%,sustainable
IDBI Bank,GOAL 8: Decent Work and Economic Growth,64.0%,"prosperity, employment"
ICICI Lombard,GOAL 8: Decent Work and Economic Growth,48.7%,"employment, innovation, workforce, enterprise"
SBI,GOAL 8: Decent Work and Economic Growth,56.7%,"productivity, enterprise"
Bank of Maharashtra,"GOAL 9: Industry, Innovation and Infrastructure",43.6%,"automation, construction"
Indian Overseas Bank,GOAL 10: Reduced Inequality,21.2%,equity
HDFC Ltd,"GOAL 16: Peace, Justice and Strong Institutions",99.2%,"governance, law"
Federal Bank,GOAL 8: Decent Work and Economic Growth,54.7%,
ICICI Securities,GOAL 12: Responsible Consumption and Production,82.6%,sustainable
UTI Asset Management Company Ltd,GOAL 12: Responsible Consumption and Production,89.7%,"sustainable, efficiency"
LIC HFL,GOAL 11: Sustainable Cities and Communities,62.3%,"housing, infrastructure"
Shriram Finance,GOAL 12: Responsible Consumption and Production,95.0%,"sustainable, efficiency"
Power Finance Corporation Ltd,GOAL 12: Responsible Consumption and Production,86.0%,"renewable, sustainable, efficiency"
IndusInd Bank,"GOAL 9: Industry, Innovation and Infrastructure",93.3%,"efficiency, technology"
Bajaj Finance,GOAL 12: Responsible Consumption and Production,94.9%,"sustainable, efficiency, recycling, packaging"
Chola,GOAL 8: Decent Work and Economic Growth,41.3%,"productivity, innovation"
Canara bank,GOAL 12: Responsible Consumption and Production,86.6%,"sustainable, efficiency"
Punjab & Sind Bank,GOAL 12: Responsible Consumption and Production,98.8%,
RBL Bank Ltd,GOAL 8: Decent Work and Economic Growth,69.3%,enterprise
HDFC Bank,"GOAL 9: Industry, Innovation and Infrastructure",96.6%,technology
