Company,Predicted SDG Component,Percentage Prediction,Keywords
Castleview,GOAL 11: Sustainable Cities and Communities,15.4%,
Mahube,GOAL 12: Responsible Consumption and Production,96.0%,"renewable, sustainable"
Capricorn Group,"GOAL 9: Industry, Innovation and Infrastructure",87.4%,technology
Standard Bank,GOAL 12: Responsible Consumption and Production,97.6%,sustainable
Investec Property Fund,GOAL 8: Decent Work and Economic Growth,83.1%,
Nedbank,"GOAL 9: Industry, Innovation and Infrastructure",49.9%,
Ninety One,"GOAL 16: Peace, Justice and Strong Institutions",95.3%,"law, governance, corruption"
Namibia Asset Management,GOAL 11: Sustainable Cities and Communities,15.4%,
Zeder,GOAL 8: Decent Work and Economic Growth,43.6%,
Capital Appreciation,"GOAL 16: Peace, Justice and Strong Institutions",88.0%,"accountability, governance"
Old Mutual,"GOAL 9: Industry, Innovation and Infrastructure",98.6%,
Remgro,GOAL 12: Responsible Consumption and Production,95.0%,sustainable
Purple Group,"GOAL 16: Peace, Justice and Strong Institutions",63.3%,governance
Momentum Metropolitan,GOAL 13: Climate Action,97.2%,
Brait,GOAL 12: Responsible Consumption and Production,72.7%,
Vunani,GOAL 12: Responsible Consumption and Production,85.0%,
Primeserv,GOAL 5: Gender Equality,61.0%,
Sanlam,GOAL 8: Decent Work and Economic Growth,59.9%,
ABSA,GOAL 11: Sustainable Cities and Communities,15.4%,
Capitec Bank,GOAL 5: Gender Equality,90.2%,equity
PSG,GOAL 12: Responsible Consumption and Production,84.4%,sustainable
Investec,GOAL 12: Responsible Consumption and Production,56.7%,
Astoria-,GOAL 8: Decent Work and Economic Growth,56.0%,
Sasfin,GOAL 12: Responsible Consumption and Production,98.3%,
Clientele,GOAL 12: Responsible Consumption and Production,89.8%,
Alex Forbes,"GOAL 9: Industry, Innovation and Infrastructure",53.8%,"automation, efficiency, research"
ARC,GOAL 8: Decent Work and Economic Growth,79.7%,
Universal Partners,GOAL 12: Responsible Consumption and Production,46.5%,sustainable
Schroders,GOAL 12: Responsible Consumption and Production,60.4%,sustainable
Discovery,GOAL 11: Sustainable Cities and Communities,15.4%,
Santam,GOAL 8: Decent Work and Economic Growth,50.0%,
