Company,Predicted SDG Component,Percentage Prediction,Keywords
Shaftesbury Capital,GOAL 14: Life Below Water,97.6%,
DKR,GOAL 12: Responsible Consumption and Production,45.3%,
Growthpoint,GOAL 12: Responsible Consumption and Production,70.1%,
Tradehold,GOAL 12: Responsible Consumption and Production,84.6%,
Equites,GOAL 8: Decent Work and Economic Growth,42.2%,
Putprop,GOAL 8: Decent Work and Economic Growth,84.0%,
Dipula,GOAL 8: Decent Work and Economic Growth,36.5%,
Hyprop,GOAL 12: Responsible Consumption and Production,57.7%,
Oasis,GOAL 12: Responsible Consumption and Production,84.8%,
Calgro M3,GOAL 10: Reduced Inequality,81.8%,
NEPI Rockcastle,GOAL 8: Decent Work and Economic Growth,46.5%,employment
Fairvest,"GOAL 16: Peace, Justice and Strong Institutions",77.0%,governance
Octodec,GOAL 12: Responsible Consumption and Production,77.7%,"sustainable, efficiency"
Lighthouse Properties,GOAL 12: Responsible Consumption and Production,68.0%,
Sirius Real Estate Limited,GOAL 5: Gender Equality,75.8%,"equity, women"
Balwin Properties,GOAL 12: Responsible Consumption and Production,97.0%,sustainable
Accelerate,GOAL 8: Decent Work and Economic Growth,58.4%,employment
Capital & Regional,GOAL 12: Responsible Consumption and Production,98.4%,sustainable
Heriot,GOAL 12: Responsible Consumption and Production,98.1%,
Emira,GOAL 12: Responsible Consumption and Production,96.0%,
Fortress,GOAL 12: Responsible Consumption and Production,92.5%,
PHP,GOAL 8: Decent Work and Economic Growth,59.7%,workforce
Hammerson,GOAL 12: Responsible Consumption and Production,97.9%,"sustainable, efficiency"
Acsion,GOAL 5: Gender Equality,93.3%,"empowerment, equity"
Vukile,GOAL 11: Sustainable Cities and Communities,75.0%,
Exemplar,GOAL 8: Decent Work and Economic Growth,82.7%,innovation
SA Corporate Real Estate,GOAL 11: Sustainable Cities and Communities,41.7%,
Redefine Properties,GOAL 11: Sustainable Cities and Communities,15.4%,
Oryx,GOAL 5: Gender Equality,59.8%,"rights, equity"
MAS PLC,GOAL 8: Decent Work and Economic Growth,40.5%,
Visual,GOAL 11: Sustainable Cities and Communities,53.9%,
Attacq,GOAL 11: Sustainable Cities and Communities,15.4%,
GTC,GOAL 11: Sustainable Cities and Communities,15.4%,
