Company,Predicted SDG Component,Percentage Prediction,Keywords
Attacq,GOAL 12: Responsible Consumption and Production,43.9%,sustainable
Hyprop,GOAL 12: Responsible Consumption and Production,82.0%,
Visual,GOAL 11: Sustainable Cities and Communities,53.9%,
Sirius Real Estate Limited,"GOAL 9: Industry, Innovation and Infrastructure",59.1%,technology
Tradehold,GOAL 12: Responsible Consumption and Production,67.7%,
Lighthouse Properties,GOAL 8: Decent Work and Economic Growth,68.8%,
Heriot,GOAL 12: Responsible Consumption and Production,97.7%,
Equites,GOAL 8: Decent Work and Economic Growth,79.7%,
GTC,GOAL 11: Sustainable Cities and Communities,15.4%,
Vukile,GOAL 8: Decent Work and Economic Growth,40.1%,
Accelerate,"GOAL 9: Industry, Innovation and Infrastructure",64.0%,
Putprop,GOAL 8: Decent Work and Economic Growth,84.1%,
Oryx,GOAL 8: Decent Work and Economic Growth,47.7%,prosperity
Capital & Regional,GOAL 11: Sustainable Cities and Communities,88.6%,
MAS PLC,GOAL 12: Responsible Consumption and Production,48.4%,
Fortress,GOAL 12: Responsible Consumption and Production,91.8%,
Exemplar,GOAL 12: Responsible Consumption and Production,98.9%,"recycling, packaging"
Octodec,GOAL 12: Responsible Consumption and Production,80.6%,"sustainable, recycling, efficiency"
Dipula,GOAL 8: Decent Work and Economic Growth,48.8%,
Growthpoint,GOAL 8: Decent Work and Economic Growth,83.3%,
NEPI Rockcastle,GOAL 12: Responsible Consumption and Production,83.7%,efficiency
PHP,GOAL 13: Climate Action,36.0%,policy
Calgro M3,GOAL 12: Responsible Consumption and Production,72.9%,sustainable
SA Corporate Real Estate,GOAL 8: Decent Work and Economic Growth,52.5%,
Balwin Properties,GOAL 12: Responsible Consumption and Production,97.4%,sustainable
Shaftesbury Capital,GOAL 11: Sustainable Cities and Communities,75.5%,resilience
DKR,GOAL 7: Affordable and Clean Energy,91.5%,sustainable
Oasis,GOAL 12: Responsible Consumption and Production,83.2%,
Acsion,GOAL 8: Decent Work and Economic Growth,42.5%,
Redefine Properties,GOAL 11: Sustainable Cities and Communities,15.4%,
Hammerson,GOAL 11: Sustainable Cities and Communities,64.5%,
Fairvest,GOAL 12: Responsible Consumption and Production,96.2%,"efficiency, recycling, renewable"
Emira,GOAL 7: Affordable and Clean Energy,90.6%,
