Company,Predicted SDG Component,Percentage Prediction,Keywords
Purple Group,GOAL 12: Responsible Consumption and Production,98.5%,
ASTORIA-,GOAL 8: Decent Work and Economic Growth,65.5%,
Standard Bank,GOAL 12: Responsible Consumption and Production,81.8%,sustainable
Zeder,GOAL 12: Responsible Consumption and Production,89.2%,
Sanlam,GOAL 11: Sustainable Cities and Communities,15.4%,
Nedbank,GOAL 11: Sustainable Cities and Communities,15.4%,
Momentum Metropolitan,GOAL 12: Responsible Consumption and Production,97.2%,"sustainable, renewable"
Mahube,GOAL 12: Responsible Consumption and Production,92.4%,
Investec Property Fund,GOAL 8: Decent Work and Economic Growth,83.9%,
PSG,GOAL 12: Responsible Consumption and Production,69.8%,sustainable
Schroders,GOAL 8: Decent Work and Economic Growth,75.7%,
Ninety One,GOAL 13: Climate Action,49.6%,"policy, resilience"
Capital Appreciation,"GOAL 16: Peace, Justice and Strong Institutions",92.4%,"accountability, governance, democracy"
Capricorn Group,"GOAL 9: Industry, Innovation and Infrastructure",75.5%,"technology, manufacturing"
Primeserv,GOAL 8: Decent Work and Economic Growth,48.5%,
Castleview,GOAL 11: Sustainable Cities and Communities,15.4%,
Capitec Bank,GOAL 8: Decent Work and Economic Growth,44.7%,
Namibia Asset Management,GOAL 11: Sustainable Cities and Communities,15.4%,
Discovery,GOAL 11: Sustainable Cities and Communities,15.4%,
Vunani,GOAL 5: Gender Equality,25.0%,
Alex Forbes,GOAL 12: Responsible Consumption and Production,80.7%,
Sasfin,GOAL 12: Responsible Consumption and Production,44.4%,
Investec,GOAL 7: Affordable and Clean Energy,86.4%,sustainable
Old Mutual,GOAL 12: Responsible Consumption and Production,91.1%,"sustainable, renewable"
ABSA,GOAL 12: Responsible Consumption and Production,67.3%,sustainable
Clientele,GOAL 12: Responsible Consumption and Production,45.8%,sustainable
Remgro,GOAL 12: Responsible Consumption and Production,95.7%,
Brait,"GOAL 9: Industry, Innovation and Infrastructure",48.5%,research
ARC-,GOAL 12: Responsible Consumption and Production,97.3%,efficiency
Santam,GOAL 11: Sustainable Cities and Communities,15.4%,
Universal Partners,"GOAL 16: Peace, Justice and Strong Institutions",96.3%,governance
