Company,Predicted SDG Component,Percentage Prediction,Keywords
AH_VEST_,GOAL 11: Sustainable Cities and Communities,15.4%,
ABInBev,GOAL 12: Responsible Consumption and Production,97.5%,
Libstar,GOAL 11: Sustainable Cities and Communities,15.4%,
ADvTech,GOAL 4: Quality Education,38.9%,"tertiary, inclusivity, curriculum"
Oceana Group,GOAL 14: Life Below Water,99.2%,"fisheries, marine"
Astral,GOAL 2: Zero Hunger,68.5%,"sustainability, agriculture"
BAT,GOAL 12: Responsible Consumption and Production,92.0%,"sustainable, efficiency"
RCL Foods,GOAL 10: Reduced Inequality,30.6%,equity
Brimstone,GOAL 11: Sustainable Cities and Communities,15.4%,
Choppies,GOAL 8: Decent Work and Economic Growth,74.8%,employment
Crookes Brothers,GOAL 8: Decent Work and Economic Growth,86.1%,employment
Curro,GOAL 5: Gender Equality,85.8%,equity
Sea Harvest Group,GOAL 14: Life Below Water,99.5%,
AVI,GOAL 2: Zero Hunger,95.0%,agriculture
Quantum Foods,GOAL 12: Responsible Consumption and Production,81.3%,efficiency
